window_id,pool,declared_regime,measured_regime,realized_vol_annualised_pct,regime_stress_threshold_pct,dutch_auction_lp_net_vs_hook_quote,dutch_auction_lp_net_vs_fixed_fee_quote,dutch_auction_trigger_rate,dutch_auction_fill_rate
link_weth_3000_month_23680843_23688042_w29,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,stress,stress,118.4026552274833,100.0,-1.1102230246251565e-16,1.8094468579430492,0.0,
link_weth_3000_month_23688043_23695242_w30,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,stress,stress,112.10313344495708,100.0,4.440892098500626e-16,2.604193160465268,0.0,
link_weth_3000_month_23695243_23700766_w31,0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,stress,normal,93.72881351348718,100.0,0.0,0.8034069600569824,0.0,
uni_weth_3000_month_23479243_23486442_w01,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,81.37721139006486,100.0,0.0,0.3519705916823398,0.0,
uni_weth_3000_month_23486443_23493642_w02,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,87.97062869876842,100.0,0.0,0.21510265044899335,0.0,
uni_weth_3000_month_23493643_23500842_w03,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,95.68500381778891,100.0,-1.0408340855860843e-17,0.11904558705648169,0.0,
uni_weth_3000_month_23500843_23508042_w04,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,45.19872881459893,100.0,2.6020852139652106e-18,0.025993224446992008,0.0,
uni_weth_3000_month_23508043_23515242_w05,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,83.43237253941538,100.0,1.0408340855860843e-17,0.07704815866553451,0.0,
uni_weth_3000_month_23515243_23522442_w06,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,76.0567632019509,100.0,0.0,0.08771191574218178,0.0,
uni_weth_3000_month_23522443_23529642_w07,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,96.32654179090159,100.0,0.0,0.4178918022083004,0.0,
uni_weth_3000_month_23529643_23536842_w08,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,75.14422447564311,100.0,3.469446951953614e-18,0.08290517668704034,0.0,
uni_weth_3000_month_23536843_23544042_w09,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,normal,83.03772031710926,100.0,-1.734723475976807e-18,0.05805126227774166,0.0,
uni_weth_3000_month_23544043_23551242_w10,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,stress,776.0560108849252,100.0,7.2586469719365745,79.96590694663223,0.0228310502283105,1.0
uni_weth_3000_month_23551243_23558442_w11,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,stress,157.06716148362005,100.0,-2.7755575615628914e-17,0.40657356096528274,0.0,
uni_weth_3000_month_23558443_23565642_w12,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,stress,145.5367040511039,100.0,-2.0816681711721685e-17,0.17458751389523275,0.0,
uni_weth_3000_month_23565643_23572842_w13,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,stress,115.92969452634603,100.0,-3.469446951953614e-18,0.14519748449715553,0.0,
uni_weth_3000_month_23572843_23580042_w14,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,stress,stress,162.54595228911182,100.0,6.938893903907228e-18,0.1026208608434308,0.0,
