window_id,window_family,pool,regime,declared_regime,realized_vol_annualised_pct,prefix_swap_count,old_lp_uplift_vs_hook_quote,new_lp_uplift_vs_hook_quote,delta_lp_uplift_vs_hook_quote,old_trigger_rate,new_trigger_rate,delta_trigger_rate,old_fill_rate,new_fill_rate,old_failclosed_rate,new_failclosed_rate
wbtc_usdc_500_normal_4h_p06,wbtc_usdc_500_normal_4h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,normal,32.78432464398712,201,13.489088437994283,17.410081508311702,3.9209930703174187,0.3333333333333333,0.20149253731343283,-0.13184079601990048,0.9916573971078977,0.9921875,0.008342602892102336,0.0078125
wbtc_usdc_500_stress_2h_p01,wbtc_usdc_500_stress_2h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,,stress,,12,-0.4813616845892548,0.10267552320664841,0.5840372077959033,0.2916666666666667,0.125,-0.16666666666666669,1.0,1.0,0.0,0.0
wbtc_usdc_500_stress_2h_p02,wbtc_usdc_500_stress_2h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,stress,26.81732089384234,41,-3.3501559039736835,1.4139591473675224,4.764115051341205,0.4085365853658537,0.14634146341463414,-0.2621951219512195,0.9722222222222222,0.8571428571428572,0.027777777777777776,0.14285714285714285
wbtc_usdc_500_stress_2h_p03,wbtc_usdc_500_stress_2h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,stress,19.01626898664261,71,-6.043806103083989,1.609816875197017,7.653622978281007,0.3541666666666667,0.10416666666666666,-0.25,0.9711538461538461,0.8571428571428572,0.028846153846153848,0.14285714285714285
wbtc_usdc_500_stress_2h_p04,wbtc_usdc_500_stress_2h,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,normal,stress,19.01626898664261,100,-8.310639859855865,2.9803063251598316,11.290946185015697,0.3725,0.1,-0.27249999999999996,0.9779411764705882,0.9166666666666667,0.022058823529411766,0.08333333333333333
wbtc_weth_500_normal_4h_p01,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,,normal,,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p02,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,,normal,,80,6.938893903907228e-18,6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p03,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,normal,42.80912973226958,131,4.336808689942018e-19,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p04,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,normal,61.773103883353585,181,-2.667137344314341e-17,-2.667137344314341e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wbtc_weth_500_normal_4h_p05,wbtc_weth_500_normal_4h,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,normal,normal,60.57720282580363,232,-1.0408340855860843e-17,-1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
