window_id,pool,regime,declared_regime,realized_vol_annualised_pct,regime_stress_threshold_pct,lp_net_vs_fixed_fee_quote,lp_net_vs_hook_quote,fill_rate,fallback_rate
weth_usdc_3000_normal_4h_p06,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,normal,51.61142835259878,100.0,0.38656986439585955,1.0408340855860843e-17,,
weth_usdc_3000_stress_2h_p01,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,,stress,,100.0,5.082358771336367e-05,-1.3552527156068805e-20,,
weth_usdc_3000_stress_2h_p02,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,2.474527554243495,100.0,0.02659331828822696,1.3010426069826053e-18,,
weth_usdc_3000_stress_2h_p03,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,25.024456670369062,100.0,0.06650378924228235,6.938893903907228e-18,,
weth_usdc_3000_stress_2h_p04,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,25.024456670369062,100.0,0.09745364887787422,8.673617379884035e-18,,
weth_usdc_3000_stress_6h_p01,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,2.474527554243495,100.0,0.023870056734316338,0.0,,
weth_usdc_3000_stress_6h_p02,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,25.024456670369062,100.0,0.09745183089312781,8.673617379884035e-18,,
weth_usdc_3000_stress_6h_p03,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,31.843359525920285,100.0,0.29722963697494664,1.3877787807814457e-17,,
weth_usdc_3000_stress_6h_p04,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,42.861152580227326,100.0,0.7063180905496068,1.3877787807814457e-17,,
weth_usdc_3000_stress_6h_p05,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,40.1782960203091,100.0,0.8764504965915252,0.0,,
weth_usdc_3000_stress_6h_p06,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,normal,stress,41.50052717375139,100.0,0.9758734339155493,-6.938893903907228e-17,,
weth_usdc_500_normal_4h_p01,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,normal,,100.0,0.38826567357897124,-2.7755575615628914e-17,,
weth_usdc_500_normal_4h_p02,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,,normal,,100.0,1.1068273195906175,-1.1102230246251565e-16,,
weth_usdc_500_normal_4h_p03,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,normal,15.100358661885826,100.0,2.4573655754968424,-1.1102230246251565e-16,,
weth_usdc_500_normal_4h_p04,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,normal,44.79719778766866,100.0,4.247835748774042,0.09942047021188291,1.0,0.0
weth_usdc_500_normal_4h_p05,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,normal,52.445561500027274,100.0,5.195650060308396,0.0994204702118823,1.0,0.0
weth_usdc_500_normal_4h_p06,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,normal,52.445561500027274,100.0,5.580629372954544,0.09942047021188177,1.0,0.0
weth_usdc_500_normal_4h_p07,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,normal,51.61142835259878,100.0,6.080379350852163,0.09942047021188216,1.0,0.0
weth_usdc_500_normal_4h_p08,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,normal,normal,51.61142835259878,100.0,6.724456086085352,0.09942047021188216,1.0,0.0
