abstain_notional_usd,abstain_positive_lp_loss_usd,all_horizons_observed,all_horizons_observed_rate,any_label_disagreement,any_label_disagreement_rate,count,dimension,group,legacy_abstain,legacy_benign,legacy_toxic,missing_economic_accounting,missing_economic_accounting_rate,missing_usd_conversion,missing_usd_conversion_rate,notional_usd,positive_lp_loss_usd,primary_observed,primary_observed_rate,resolved_label_conflict,resolved_label_conflict_rate,v3_abstain,v3_abstain_rate,v3_benign,v3_benign_rate,v3_toxic,v3_toxic_rate
2806059.966660357,49.86237198055926,16,0.042440318302387266,200,0.5305039787798409,377,pool_month_direction_regime,eurc_usdc_500|2026-04|zero_for_one|stress,164,162,51,0,0.0,343,0.9098143236074271,2874911.3900380963,49.86237198055926,34,0.09018567639257294,0,0.0,350,0.9283819628647215,27,0.07161803713527852,0,0.0
1985810.9172650005,0.0,18,0.06545454545454546,118,0.4290909090909091,275,pool_month_direction_regime,eurc_usdc_500|2026-05|one_for_zero|stress,179,29,67,0,0.0,186,0.6763636363636364,2418052.534455,150.5339744142337,89,0.3236363636363636,18,0.06545454545454546,227,0.8254545454545454,36,0.13090909090909092,12,0.04363636363636364
1683256.7600767799,76.06193959601936,11,0.040293040293040296,73,0.2673992673992674,273,pool_month_direction_regime,eurc_usdc_500|2026-05|zero_for_one|stress,216,14,43,0,0.0,226,0.8278388278388278,1834061.4455878197,79.08169062913345,47,0.17216117216117216,8,0.029304029304029304,247,0.9047619047619048,25,0.09157509157509157,1,0.003663003663003663
2154773.848064999,11.745320515327872,20,0.078125,102,0.3984375,256,pool_month_direction_regime,eurc_usdc_500|2026-06|one_for_zero|stress,190,8,58,0,0.0,189,0.73828125,2597806.1003209995,26.630095248026493,67,0.26171875,2,0.0078125,214,0.8359375,36,0.140625,6,0.0234375
2000579.4382265438,89.84005023415823,6,0.01910828025477707,141,0.44904458598726116,314,pool_month_direction_regime,eurc_usdc_500|2026-06|zero_for_one|stress,183,63,68,0,0.0,255,0.8121019108280255,2156308.6909578745,175.5717395204432,59,0.18789808917197454,0,0.0,290,0.9235668789808917,16,0.050955414012738856,8,0.025477707006369428
0.0,0.0,3076,1.0,1804,0.5864759427828349,3076,pool_month_direction_regime,link_weth_3000|2025-10|one_for_zero|normal,2539,53,484,0,0.0,3076,1.0,0.0,0.0,3076,1.0,5,0.001625487646293888,1188,0.3862158647594278,251,0.08159947984395319,1637,0.532184655396619
0.0,0.0,3977,1.0,2264,0.5692733215991954,3977,pool_month_direction_regime,link_weth_3000|2025-10|one_for_zero|stress,3342,84,551,0,0.0,3977,1.0,0.0,0.0,3977,1.0,21,0.005280362081971335,1441,0.36233341714860445,550,0.13829519738496354,1986,0.499371385466432
0.0,0.0,3557,1.0,2207,0.6204666854090526,3557,pool_month_direction_regime,link_weth_3000|2025-10|zero_for_one|normal,2810,35,712,0,0.0,3557,1.0,0.0,0.0,3556,0.9997188642114141,14,0.003935901040202418,1139,0.32021366319932526,224,0.06297441664323869,2194,0.616811920157436
0.0,0.0,4175,0.9997605363984674,2217,0.5308908045977011,4176,pool_month_direction_regime,link_weth_3000|2025-10|zero_for_one|stress,3358,103,715,0,0.0,4176,1.0,0.0,0.0,4176,1.0,2,0.0004789272030651341,1639,0.3924808429118774,450,0.10775862068965517,2087,0.49976053639846746
10688860.414062992,1104.2733480193915,1533,0.505940594059406,1394,0.46006600660066005,3030,pool_month_direction_regime,paxg_usdc_500|2026-01|one_for_zero|stress,2502,1,527,0,0.0,1284,0.42376237623762375,17327755.733472005,38880.66372053529,1746,0.5762376237623762,6,0.0019801980198019802,1656,0.5465346534653466,105,0.034653465346534656,1269,0.4188118811881188
