timestamp,block_number,tx_hash,log_index,price,source
1774965371,24778028,0x80fd0265ee02c7ce890d769783d70df258a6b638872e4c96413ac936928642f3,94,0.8674019191140047,stitched_market_reference
1774999583,24780859,0x7a702e248463676a3c8db8def6ef4dde1348b25c660e8b36228003370ef0f681,196,0.8647637648941959,stitched_market_reference
1775026847,24783121,0x68474de3c23efc5226f0f6978059a8ccc07b1329f9bccdcf5c5b297dc4bbffca,180,0.8648852672768235,stitched_market_reference
1775030447,24783419,0x37854da6bdf8b46988bf67f2a222ea838b8efdafe70df4af59b1db00bbc0b274,304,0.8649163673882899,stitched_market_reference
1775032367,24783579,0xedc40fe755b3350c9609aa133cd9b9986969f8b5349d2373ff410417e08c45a0,490,0.8622969398766073,stitched_market_reference
1775286095,24804652,0xdd6f795207162f21c4156a33d9a4a3fbac0f454aeff06db57009c0d24492d2cc,594,0.8681179708204049,stitched_market_reference
1775289611,24804945,0x865d09205f3f3a13f2c63a3b6c6faee1b1407f85538c582714b71f9b79f82551,154,0.8681043229921429,stitched_market_reference
1777186859,24962561,0xc53f99b4f060c1ab89781ec89cda5aa553410483c896d4dc181f2d051da282c5,525,0.8533978577392425,stitched_market_reference
1777190435,24962858,0x36f87f69300c8dcbe4f08d92eb05fc647c3a4c2cda4ccb977f6c097526349f00,474,0.8533959800515138,stitched_market_reference
1777200935,24963732,0xf2c65dec467903954b0568dee18d80e5473723dbfe135e1d67ebd55f4e03bf60,344,0.8534431518163886,stitched_market_reference
1777532459,24991291,0x04f3a5c475eb28a0b48919283e72e2f14b9fe457fd4fd3015dcdb8bdf31443ae,244,0.8569196242879237,stitched_market_reference
1777536023,24991587,0x9b00f490734d5c81aebf9559a36ab82e654996515e3ce553a6ba8a3d0df61451,220,0.8568683354387417,stitched_market_reference
1777545131,24992346,0x0447c31219baaff7645e4367e5f51ffa1d5c4c683b222547ebbcd68e819a88fc,420,0.8542180254435008,stitched_market_reference
1777618835,24998460,0x746d415f9ab2673d6720becb15aa3243d7abcdc11fa34b69f72e8f1c628907e9,750,0.8541811816144098,stitched_market_reference
1777622435,24998760,0x682662a0f165213acfa249ea6ab8187284ce4399b9b5a7888056a56b9e144623,334,0.8542522033925647,stitched_market_reference
1777624103,24998899,0x34d9c6153bbf47dc3df4ed02273a5c275bedab6c3fb708aa2fb4754f6d0b83dd,144,0.8516668181136653,stitched_market_reference
1777644803,25000619,0x0dfc760a55e6bb6a4239acc1c2576f4bf493d0ac66d4b9f5197e82ce62d91f02,890,0.8490885256297988,stitched_market_reference
1777656887,25001622,0x1e0da9942656991cbc89c582c4e2b4d2a085b2bd94ceac69b7c13433a24f0ff5,651,0.8516791736129983,stitched_market_reference
1777705247,25005647,0x1e5814398e3dbb167ca4efb368e09f2c6c995c081c478c11bb54446cc53a9ebc,333,0.8517075154977378,stitched_market_reference
1777708847,25005947,0xc8229cf685628dcef90d925db136fcf5897ce28f56a6446fa508d93c830bd68b,305,0.8517302861192915,stitched_market_reference
1777743299,25008814,0x80951fc273a6b9978ff0d49f1d08c3974a83aeabb46a316145256f67e4fb8085,477,0.8529167889388594,stitched_market_reference
1780038059,25199392,0xeb61772ab3ce3b25084e1b8f74a23eab52919fd719db50eb5a902c39112f18b2,49,0.8588476250869589,stitched_market_reference
1780041623,25199687,0xb1b56ed32979d0b65c69e19a17488b3baaae47b1a67c9c56a8152dab42867b8a,465,0.8588542328526269,stitched_market_reference
1780064087,25201552,0x90b26067a086911f4a9cd116a492f0f4dc2fcb2c5bbeb906c616c6a99a497a41,677,0.8582691288981787,stitched_market_reference
1780068875,25201951,0xd8abc928dd26322429aa51732d82a8ab91eba8e5a729de68aaf6fea1dc91f409,391,0.8556645213885428,stitched_market_reference
1780210859,25213724,0xf670b7c855561e424e9061515a227a726f53c32fa90fccc7d32766ee4b1debee,885,0.857505904278605,stitched_market_reference
1780214435,25214019,0x9820bafcce3d27f5a24ab8b85ee1953a95aa612b8518792b70e66bc8fe28ed75,447,0.8575068050305089,stitched_market_reference
1780241711,25216282,0xc52249ab0cdba2e113824d68baf2a6c600e9cd4ce319e3981a67648da33a11f5,604,0.8576346674743183,stitched_market_reference
1780297259,25220895,0x266e814bb0ba76241ebf8dd28c288a376a79bc7ae0531353284c5c7b1ae62f6d,91,0.8576393177631596,stitched_market_reference
1780300823,25221189,0x0e8c6459f3142cfaf337af2be426d5a3f82959e966885e1337aeb300763796c6,252,0.8576406219032037,stitched_market_reference
1780321967,25222944,0xe78a28ed55c175a548cc303af6e1bcfed63f7ae1045b05346102d9c919be3cf9,442,0.8602328735101453,stitched_market_reference
1780729259,25256714,0x34b6a8719a7861bffbed65dc62293aa00e23e9d6126c7ac8b9379f5ca8002ab7,231,0.8669848220597877,stitched_market_reference
1780732847,25257012,0x40e146dfcd3dfb88153b2facb6542a614181ed5bacf48f312e77dc76adf03710,261,0.8669811361254994,stitched_market_reference
1780761887,25259426,0xe0e51e6c75007166eedbebc080ce374b86765a5234becf688d2453272cdf3ce7,822,0.8692009822594066,stitched_market_reference
1782630047,25414523,0x25712ed5268cd444f8e78653600d04ebc7304791a9eea2faa93477cc4b977b91,370,0.8774913033613444,stitched_market_reference
1782633683,25414826,0xae3b5e5e74f60795ef01784e858273e47ebaac283ecf89a3362119efd01eb783,16,0.8774046163201802,stitched_market_reference
1782664643,25417398,0xdf32cbfad9cdc6f5a26780685fae0a58759b66b2e42c1998a470180da0de236a,356,0.877672878523832,stitched_market_reference
1782802859,25428864,0x036f58fc2590ca556ba645caa479daa85f2c1e8682024edccba3eb7b9cff865e,91,0.87779721856439,stitched_market_reference
1782806435,25429161,0x5c1320210c465d4187bb9d7b3f45a68dfcc17869b229e5639eecbc3ec6dc5a06,544,0.877832696731486,stitched_market_reference
1782831479,25431236,0x812e0e3ff98fc1d7d661c6361e3fb704646fb38fc6b49476cec910471615d96a,411,0.8751135034729758,stitched_market_reference
