pool,quote_asset,observed_blocks,unprotected_loss_native,unprotected_loss_usd,fixed_fee_loss_native,fixed_fee_loss_usd,auction_loss_native,auction_loss_usd,auction_recapture_pct,hook_stale_time_pct,hook_reprice_execution_pct
WETH/USDC,USDC,956,197.1298841166,830981.8552615083,126.0144944379,531201.8461690432,0.0000197130,0.08309818552615082,99.99999000000001,70.68412985927269,0.0
WBTC/USDC,USDC,1168,21434.44851322093,21434.44851322093,10788.227051912258,10788.227051912258,0.07996793846141569,0.07996793846141569,99.99962691860995,70.7412042831317,0.0
LINK/WETH,WETH,1183,1518.9189882891117,6402855.277558233,1302.6207419917212,5491071.055680937,44.55319727735662,187809.67024497947,97.06678251961675,100.0,0.0
UNI/WETH,WETH,642,57.91752992431672,244145.71481310812,50.2904222300793,211994.38407784593,10.735368226507717,45253.90072517974,81.46438869106456,99.00469216550547,0.0
