pool_family,quote_unit,temperature_multiplier,window_count,normal_window_count,stress_window_count,unmeasurable_window_count,trigger_count,clear_count,aggregate_clear_rate,weighted_stale_time_share,mean_stale_time_share,mean_effective_start_concession_bps,mean_delay_seconds,median_window_mean_minimum_solver_concession_bps,total_lp_net_quote,delta_total_lp_net_quote_vs_temp0,improved_window_count,worsened_window_count,unchanged_window_count,delta_clear_count_vs_temp0,delta_cumulative_stale_time_seconds_vs_temp0
all_pools,mixed_do_not_sum,0.0,72,66,4,2,1416,0,0.0,0.5439928835484266,0.5453098863315853,10.0,846.7300473493328,5005.612050134175,,,0,0,72,0.0,0.0
all_pools,mixed_do_not_sum,0.25,72,66,4,2,1416,0,0.0,0.5439928835484266,0.5453098863315853,11.645116675429607,846.7300473493328,5005.612050134175,,,0,0,72,0.0,0.0
all_pools,mixed_do_not_sum,0.5,72,66,4,2,1416,0,0.0,0.5439928835484266,0.5453098863315853,13.290233350859214,846.7300473493328,5005.612050134175,,,0,0,72,0.0,0.0
all_pools,mixed_do_not_sum,1.0,72,66,4,2,1416,0,0.0,0.5439928835484266,0.5453098863315853,16.58046670171843,846.7300473493328,5005.612050134175,,,0,0,72,0.0,0.0
all_pools,mixed_do_not_sum,2.0,72,66,4,2,1416,0,0.0,0.5439928835484266,0.5453098863315853,23.160933403436857,846.7300473493328,5005.612050134175,,,0,0,72,0.0,0.0
eurc_usdc_500,EURC,0.0,24,22,0,2,331,0,0.0,0.6332446759949605,0.6344984676759905,10.0,957.1818181818181,6546.813298737347,-2198.167462164387,0.0,0,0,24,0.0,0.0
eurc_usdc_500,EURC,0.25,24,22,0,2,331,0,0.0,0.6332446759949605,0.6344984676759905,11.11213815306138,957.1818181818181,6546.813298737347,-2198.167462164387,0.0,0,0,24,0.0,0.0
eurc_usdc_500,EURC,0.5,24,22,0,2,331,0,0.0,0.6332446759949605,0.6344984676759905,12.22427630612276,957.1818181818181,6546.813298737347,-2198.167462164387,0.0,0,0,24,0.0,0.0
eurc_usdc_500,EURC,1.0,24,22,0,2,331,0,0.0,0.6332446759949605,0.6344984676759905,14.44855261224552,957.1818181818181,6546.813298737347,-2198.167462164387,0.0,0,0,24,0.0,0.0
eurc_usdc_500,EURC,2.0,24,22,0,2,331,0,0.0,0.6332446759949605,0.6344984676759905,18.89710522449104,957.1818181818181,6546.813298737347,-2198.167462164387,0.0,0,0,24,0.0,0.0
paxg_usdc_500,PAXG,0.0,24,22,2,0,365,0,0.0,0.5093149452855644,0.5108095466901003,10.0,748.5574191353305,37247.69578144852,-4.800119798700041,0.0,0,0,24,0.0,0.0
paxg_usdc_500,PAXG,0.25,24,22,2,0,365,0,0.0,0.5093149452855644,0.5108095466901003,11.75608057752259,748.5574191353305,37247.69578144852,-4.800119798700041,0.0,0,0,24,0.0,0.0
paxg_usdc_500,PAXG,0.5,24,22,2,0,365,0,0.0,0.5093149452855644,0.5108095466901003,13.512161155045181,748.5574191353305,37247.69578144852,-4.800119798700041,0.0,0,0,24,0.0,0.0
paxg_usdc_500,PAXG,1.0,24,22,2,0,365,0,0.0,0.5093149452855644,0.5108095466901003,17.024322310090362,748.5574191353305,37247.69578144852,-4.800119798700041,0.0,0,0,24,0.0,0.0
paxg_usdc_500,PAXG,2.0,24,22,2,0,365,0,0.0,0.5093149452855644,0.5108095466901003,24.04864462018072,748.5574191353305,37247.69578144852,-4.800119798700041,0.0,0,0,24,0.0,0.0
weth_usdc_3000,WETH,0.0,24,22,2,0,720,0,0.0,0.4907891662622886,0.4906216446286651,10.0,890.1884210895292,2584.550779634679,-103.12493823901549,0.0,0,0,24,0.0,0.0
weth_usdc_3000,WETH,0.25,24,22,2,0,720,0,0.0,0.4907891662622886,0.4906216446286651,11.982925037897354,890.1884210895292,2584.550779634679,-103.12493823901549,0.0,0,0,24,0.0,0.0
weth_usdc_3000,WETH,0.5,24,22,2,0,720,0,0.0,0.4907891662622886,0.4906216446286651,13.965850075794709,890.1884210895292,2584.550779634679,-103.12493823901549,0.0,0,0,24,0.0,0.0
weth_usdc_3000,WETH,1.0,24,22,2,0,720,0,0.0,0.4907891662622886,0.4906216446286651,17.931700151589418,890.1884210895292,2584.550779634679,-103.12493823901549,0.0,0,0,24,0.0,0.0
weth_usdc_3000,WETH,2.0,24,22,2,0,720,0,0.0,0.4907891662622886,0.4906216446286651,25.863400303178835,890.1884210895292,2584.550779634679,-103.12493823901549,0.0,0,0,24,0.0,0.0
