pool,block_number,block_timestamp,symbol0,raw_balance0,decimals0,price_usd_8dec0,symbol1,raw_balance1,decimals1,price_usd_8dec1
weth_usdc_3000,23590000,1760614991,USDC,31070640349056,6,99989230,WETH,10276406039032742575401,18,404401901600
wbtc_usdc_500,23590000,1760614991,WBTC,1141882704,8,11160361000000,USDC,1644196920238,6,99989230
link_weth_3000,23590000,1760614991,LINK,1256588175438188349625572,18,1836193000,WETH,2263239887202027747212,18,404401901600
uni_weth_3000,23590000,1760614991,UNI,2588177344102925394391551,18,662939200,WETH,484353713346045449289,18,404401901600
