pool,tvl_usd,gross_stale_value_usd,hook_recapture_pct,v3_recapture_pct,uplift_usd_month,uplift_bps_tvl_month,uplift_bps_tvl_month_ex_dislocation,uplift_pct_tvl_annualized
WETH/USDC,72625275.47907605589035445783,3663299.220103540392004765071,99.900,52.1005260829269600,1751037.755217731883820240859,241.1058331506391850528113488,176.0590666922712098314709145,28.62276693704721084726566925
WBTC/USDC,2918402.1598593047674,92727.86455035061781730472568,99.9000042758992800,16.90007899446906600,76964.05829185682766708144081,263.7198510556449157974601160,193.3013871383897332402153053,31.30737956357285697485862023
LINK/WETH,32225969.25783842904612524825,8833106.611591522080394257386,99.900,24.41748060316834700,6667451.411437389834753717286,2068.968463940194315312058937,539.0167058442869643300277160,245.6166297165496589702943979
UNI/WETH,19116777.80681880157150117275,565120.7101853224982867532936,99.900,37.7356478699327400,351303.6282395407536007611825,183.7671765553677996781202532,102.1188216217290703643371969,21.81583496545759309839252095
