adaptive_calibration_error,benign_precision,benign_surcharge_usd,brier_score,classified_coverage,closes_gap_brier_score,closes_gap_count,closes_gap_mean_probability,closes_gap_observed_toxic_rate,confirmed_test_count,current_rule_benign_surcharge_usd,evaluation_scheme,expected_calibration_error,false_negative,false_positive,fold,log_loss,maximum_calibration_error,mean_toxicity_probability,method,observed_toxic_rate,taxed_dollar_resolution_rate,test_count,toxic_precision,toxic_precision_confidence_lower,toxic_precision_confidence_upper,toxic_recall,toxic_surcharge_available_usd,toxic_surcharge_capture_rate,toxic_surcharge_captured_usd,true_negative,true_positive,unresolved_surcharge_usd,unresolved_taxed_count,widens_gap_brier_score,widens_gap_count,widens_gap_mean_probability,widens_gap_observed_toxic_rate,worst_case_benign_surcharge_usd
0.14308887263248715,,0.0,0.23706309596781514,0.0,0.02550841704208253,229,0.9688282872133245,0.9737991266375546,1977,0.4089700700434374,rolling_chronological,0.1497771159436911,0,0,2026-01_to_2026-02,0.6832358535692351,0.40893743605856847,0.3198703820837192,global_offset,0.44916540212443096,0.0,14088,,0.0,1.0,0.0,2009.1288314507349,0.0,0.0,0,0,0.7230696325776305,65,0.2647782112275364,1748,0.2348524414231474,0.3804347826086957,0.7230696325776305
0.12489580428031256,,0.0,0.22917971453915004,0.0,0.04477236705642815,229,0.8445845028140542,0.9737991266375546,1977,0.4089700700434374,rolling_chronological,0.12585175466373974,0,0,2026-01_to_2026-02,0.6547754881623707,0.1892994887488988,0.32534780072633496,global_platt,0.44916540212443096,,14088,,0.0,1.0,0.0,2009.1288314507349,0.0,0.0,0,0,0.0,0,0.25333834301371716,1748,0.2573242281988248,0.3804347826086957,0.0
0.3079732157019477,,0.0016886096168777156,0.32745669362932045,0.0738492665655033,0.025983719503921882,229,0.99676771855833,0.9737991266375546,1977,0.4089700700434374,rolling_chronological,0.32370851952196483,0,4,2026-01_to_2026-02,0.8824797836741861,0.513495361373576,0.7571386178263786,identity,0.44916540212443096,0.004356675889670218,14088,0.9726027397260274,0.9316781378893568,0.9892952768525267,0.15990990990990991,2009.1288314507349,0.01564515869671372,31.43313941018974,0,142,7183.889151975892,2570,0.3669517228482657,1748,0.7257455605794583,0.3804347826086957,7183.890840585509
0.14342948492823035,,0.0,0.2370971683516143,0.0,0.02546322472166795,229,0.9707266647617638,0.9737991266375546,1977,0.4089700700434374,rolling_chronological,0.1496989108632564,0,0,2026-01_to_2026-02,0.683349287930753,0.4089970230594668,0.31992368610073996,sign_offset,0.44916540212443096,0.0,14088,,0.0,1.0,0.0,2009.1288314507349,0.0,0.0,0,0,0.7230696325776305,65,0.2648226678317388,1748,0.2346640281411436,0.3804347826086957,0.7230696325776305
0.05983546788784686,,0.0,0.21207839525406447,0.0,0.025406999012518538,229,0.9705119664230858,0.9737991266375546,1977,0.4089700700434374,rolling_chronological,0.025845302024760538,0,0,2026-01_to_2026-02,0.603070601165712,0.028800573463294177,0.4742491870130121,sign_platt,0.44916540212443096,,14088,,0.0,1.0,0.0,2009.1288314507349,0.0,0.0,0,0,0.0,0,0.23653362965870636,1748,0.40923535607198985,0.3804347826086957,0.0
0.5487036139819126,,0.0,0.5211361704306712,0.0,0.9947624126096333,1,0.9973777682551548,0.0,221,0.3375140896028515,rolling_pool_held_out,0.5577296571335429,0,0,2026-01_to_2026-02:eurc_usdc_500,1.4308778747678834,0.9973777682551548,0.14360407832577973,global_offset,0.6923076923076923,,1627,,0.0,1.0,0.0,625.0710711364148,0.0,0.0,0,0,0.0,0,0.5189833238753122,220,0.13972328882610077,0.6954545454545454,0.0
0.524794834528031,,0.0,0.49497811191616287,0.0,0.9566517228524415,1,0.9780857441208524,0.0,221,0.3375140896028515,rolling_pool_held_out,0.541289186303628,0,0,2026-01_to_2026-02:eurc_usdc_500,1.3194032638375779,0.9780857441208524,0.16751285777966118,global_platt,0.6923076923076923,,1627,,0.0,1.0,0.0,625.0710711364148,0.0,0.0,0,0,0.0,0,0.4928795955028162,220,0.16382843556901944,0.6954545454545454,0.0
0.2791651347653525,,0.0,0.212261883953738,0.0,0.9996782755590671,1,0.9998391248391248,0.0,221,0.3375140896028515,rolling_pool_held_out,0.03227204349278344,0,0,2026-01_to_2026-02:eurc_usdc_500,0.6452258623136198,0.9998391248391248,0.7245797358004757,identity,0.6923076923076923,0.0,1627,,0.0,1.0,0.0,625.0710711364148,0.0,0.0,0,0,6726.040364412059,73,0.20868271853735013,220,0.723328556759391,0.6954545454545454,6726.040364412059
0.5502733835431938,,0.0,0.5229117986447739,0.0,0.9966506025086035,1,0.9983238965929863,0.0,221,0.3375140896028515,rolling_pool_held_out,0.5593079889422252,0,0,2026-01_to_2026-02:eurc_usdc_500,1.440247850560287,0.9983238965929863,0.14203430876449855,sign_offset,0.6923076923076923,,1627,,0.0,1.0,0.0,625.0710711364148,0.0,0.0,0,0,0.0,0,0.5207584404453928,220,0.13814208336527814,0.6954545454545454,0.0
0.439915122228151,,0.0,0.3989714641495039,0.0,0.9755772334478883,1,0.9877131331757659,0.0,221,0.3375140896028515,rolling_pool_held_out,0.4321217519721545,0,0,2026-01_to_2026-02:eurc_usdc_500,1.0307646149950813,0.9877131331757659,0.2691245207262687,sign_platt,0.6923076923076923,,1627,,0.0,1.0,0.0,625.0710711364148,0.0,0.0,0,0,0.0,0,0.3963505288345112,220,0.26585820885149825,0.6954545454545454,0.0
0.20590568033905043,,0.0,0.206258168558307,0.007900677200902935,0.004570158065902007,214,0.9892961510719993,0.9953271028037384,886,0.06976737082370815,rolling_pool_held_out,0.22249268068971947,0,0,2026-01_to_2026-02:paxg_usdc_500,0.5717449431333921,0.40720731594631876,0.6328326484438634,global_offset,0.45936794582392776,0.1350585845723614,9292,1.0,0.6456695649333126,1.0,0.0171990171990172,683.0081862236681,0.0013687452120531732,0.9348641846867678,0,7,5.987051868608521,103,0.2704861957091622,672,0.5193159973093082,0.28869047619047616,5.987051868608521
0.19769359121146174,,0.0,0.1860564173827655,0.0,0.016754793184005388,214,0.8893898405500856,0.9953271028037384,886,0.06976737082370815,rolling_pool_held_out,0.22161233864298552,0,0,2026-01_to_2026-02:paxg_usdc_500,0.5414020304335065,0.362243150036896,0.5761257939095051,global_platt,0.45936794582392776,,9292,,0.0,1.0,0.0,683.0081862236681,0.0,0.0,0,0,0.0,0,0.23997092270796586,672,0.47636611239003457,0.28869047619047616,0.0
0.359207091219817,,0.0,0.33918833428590944,0.15124153498871332,0.004601780828701441,214,0.9967972428329572,0.9953271028037384,886,0.06976737082370815,rolling_pool_held_out,0.3941751731727041,0,0,2026-01_to_2026-02:paxg_usdc_500,0.9018499332531136,0.5768124873900097,0.8176711001527807,identity,0.45936794582392776,0.09292829820162835,9292,1.0,0.9721313249761009,1.0,0.32923832923832924,683.0081862236681,0.0459237703548713,31.366311094632906,0,134,306.16608432895276,1354,0.4457382188690085,672,0.7606279535254625,0.28869047619047616,306.16608432895276
0.20868466115629222,,0.0,0.20835860297880385,0.007900677200902935,0.004570158065902007,214,0.9892961510719993,0.9953271028037384,886,0.06976737082370815,rolling_pool_held_out,0.22608119460981732,0,0,2026-01_to_2026-02:paxg_usdc_500,0.5759956189110665,0.41272999705073377,0.6368609493473402,sign_offset,0.45936794582392776,0.1350585845723614,9292,1.0,0.6456695649333126,1.0,0.0171990171990172,683.0081862236681,0.0013687452120531732,0.9348641846867678,0,7,5.987051868608521,103,0.2732555184719005,672,0.5246271202266899,0.28869047619047616,5.987051868608521
0.18808013500712897,,0.0,0.18139578523775676,0.0,0.016754793184005388,214,0.8893898405500856,0.9953271028037384,886,0.06976737082370815,rolling_pool_held_out,0.16058026961506114,0,0,2026-01_to_2026-02:paxg_usdc_500,0.5316336326277878,0.21525694906715717,0.5657872645372469,sign_platt,0.45936794582392776,,9292,,0.0,1.0,0.0,683.0081862236681,0.0,0.0,0,0,0.0,0,0.23382610115963592,672,0.4627352537236346,0.28869047619047616,0.0
