brier_score,count,evaluation_scheme,expected_calibration_error,mean_toxicity_probability,method,observed_toxic_rate,pool_family,probability_branch,test_month
0.9967569826898492,1,rolling_chronological,0.9983771745637263,0.9983771745637263,global_offset,0.0,eurc_usdc_500,closes_gap,2026-02
0.9838621459230794,1,rolling_chronological,0.9918982538159241,0.9918982538159241,global_offset,0.0,eurc_usdc_500,closes_gap,2026-03
0.9712578820011969,1,rolling_chronological,0.9855241661172987,0.9855241661172987,global_offset,0.0,eurc_usdc_500,closes_gap,2026-04
0.056117821279699054,2,rolling_chronological,0.23689200341020178,0.7631079965897982,global_offset,1.0,eurc_usdc_500,closes_gap,2026-05
0.00043906393724030154,6,rolling_chronological,0.020953852563199482,0.9790461474368005,global_offset,1.0,eurc_usdc_500,closes_gap,2026-06
0.44739275589521077,220,rolling_chronological,0.4876909872957399,0.20776355815880554,global_offset,0.6954545454545454,eurc_usdc_500,widens_gap,2026-02
0.20759554647097844,471,rolling_chronological,0.1217181949730255,0.5091179559729277,global_offset,0.554140127388535,eurc_usdc_500,widens_gap,2026-03
0.22854240548203342,65,rolling_chronological,0.3628528588912649,0.4097088637462663,global_offset,0.2923076923076923,eurc_usdc_500,widens_gap,2026-04
0.4619872878039918,94,rolling_chronological,0.5320992923112967,0.19130496300785227,global_offset,0.723404255319149,eurc_usdc_500,widens_gap,2026-05
0.4503493424590768,76,rolling_chronological,0.47937111035716506,0.24431310016915067,global_offset,0.7236842105263158,eurc_usdc_500,widens_gap,2026-06
0.005396477565186314,214,rolling_chronological,0.026205696655836608,0.9691214061479018,global_offset,0.9953271028037384,paxg_usdc_500,closes_gap,2026-02
0.00527901095093533,229,rolling_chronological,0.022087056872560518,0.9735461309003652,global_offset,0.9956331877729258,paxg_usdc_500,closes_gap,2026-03
0.0007967384739986674,133,rolling_chronological,0.024762050110161082,0.9752379498898389,global_offset,1.0,paxg_usdc_500,closes_gap,2026-04
0.002813252134878406,89,rolling_chronological,0.05000878695555316,0.9499912130444467,global_offset,1.0,paxg_usdc_500,closes_gap,2026-05
0.0005508567883202287,72,rolling_chronological,0.022109453732631512,0.9778905462673685,global_offset,1.0,paxg_usdc_500,closes_gap,2026-06
0.2020917392470213,672,rolling_chronological,0.08873096464657376,0.28828734296538105,global_offset,0.28869047619047616,paxg_usdc_500,widens_gap,2026-02
0.2066139286515072,901,rolling_chronological,0.11180310655524675,0.3832324124034867,global_offset,0.2741398446170921,paxg_usdc_500,widens_gap,2026-03
0.23445935191683057,513,rolling_chronological,0.28161430074905186,0.40448391323726773,global_offset,0.14814814814814814,paxg_usdc_500,widens_gap,2026-04
0.16031119597989751,239,rolling_chronological,0.14798171779670535,0.2459783877078275,global_offset,0.16317991631799164,paxg_usdc_500,widens_gap,2026-05
0.2692370487185147,345,rolling_chronological,0.16573762683030224,0.310860395346421,global_offset,0.4405797101449275,paxg_usdc_500,widens_gap,2026-06
0.2635588800712271,14,rolling_chronological,0.24795140583118547,0.9622371201168998,global_offset,0.7142857142857143,weth_usdc_3000,closes_gap,2026-02
0.10815906085603202,9,rolling_chronological,0.09233833582298878,0.9812272247118776,global_offset,0.8888888888888888,weth_usdc_3000,closes_gap,2026-03
0.2173779729626798,9,rolling_chronological,0.18945796607336218,0.96723574385114,global_offset,0.7777777777777778,weth_usdc_3000,closes_gap,2026-04
0.04141850466057768,27,rolling_chronological,0.06488519647394599,0.9339056020840855,global_offset,0.9629629629629629,weth_usdc_3000,closes_gap,2026-05
0.0014797394457281426,12,rolling_chronological,0.024059558816086235,0.9759404411839138,global_offset,1.0,weth_usdc_3000,closes_gap,2026-06
0.26705637634905255,856,rolling_chronological,0.17501187639166593,0.19986564292054715,global_offset,0.37149532710280375,weth_usdc_3000,widens_gap,2026-02
0.22764703345384776,643,rolling_chronological,0.11529001968053952,0.3881122991928172,global_offset,0.29082426127527217,weth_usdc_3000,widens_gap,2026-03
0.22371856862022657,448,rolling_chronological,0.10095775878511346,0.3651560913031718,global_offset,0.2924107142857143,weth_usdc_3000,widens_gap,2026-04
0.20186637981541358,345,rolling_chronological,0.06278595546778917,0.20967781264815286,global_offset,0.27246376811594203,weth_usdc_3000,widens_gap,2026-05
0.2559772282845777,1206,rolling_chronological,0.1272676809958236,0.27488820623469046,global_offset,0.4021558872305141,weth_usdc_3000,widens_gap,2026-06
0.9291184591957067,1,rolling_chronological,0.9639079101219715,0.9639079101219715,global_platt,0.0,eurc_usdc_500,closes_gap,2026-02
0.8833316237120216,1,rolling_chronological,0.9398572358140472,0.9398572358140472,global_platt,0.0,eurc_usdc_500,closes_gap,2026-03
