block_number,timestamp,tx_hash,log_index,event_type,tick_lower,tick_upper,amount,amount0,amount1
23543729,1760055767,0xaf9d0489e7a2811ae3feedd5fc0eb5d7f3beca7c3bec28bb007c91f0240c384e,91,burn,64520,73780,0,0,0
23543906,1760057951,0x796d8d8e7e26ebaf40013517492353320719d3b5cb9dfd2967da365e5f571887,158,mint,71050,71060,554072865932396,4868044801,3737427135285
23543906,1760057951,0xd678e194f17f7aa40c373885aa822edcd20ca9e3db16ea2b50086b19b758a313,167,burn,71050,71060,554072865932396,4866918049,3738799609068
