timestamp,block_number,block_timestamp,tx_hash,log_index,source_feed,source_label,base_feed,quote_feed,base_answer,quote_answer,base_decimals,quote_decimals,reference_price_wad,reference_price
1760052623,23543467,1760052623,0x6225ff9c50b5b2dbe5eafb0e128d19f5fd9bbd5c453be7e89c7411578ee9e9cd,577,0xf4030086522a5beea4988f8ca5b36dbc97bee88c,base_feed,0xf4030086522a5beea4988f8ca5b36dbc97bee88c,0x8fffffd4afb6115b954bd326cbe7b4ba576818f6,12156615000000,99972541,8,8,121599540017693458446754,121599.540017693458446754
1760056235,23543767,1760056235,0xeb68f5ef62fddbc823a6a14c3ec7b50e16232a019e38b5e048c39cadf98d2996,182,0xf4030086522a5beea4988f8ca5b36dbc97bee88c,base_feed,0xf4030086522a5beea4988f8ca5b36dbc97bee88c,0x8fffffd4afb6115b954bd326cbe7b4ba576818f6,12191542949696,99972541,8,8,121948915449653320305222,121948.915449653320305222
1760059859,23544063,1760059859,0x4d894973139c7edd032ce8993c24a79e0c487b6f7532b6646263c1630369d72a,119,0xf4030086522a5beea4988f8ca5b36dbc97bee88c,base_feed,0xf4030086522a5beea4988f8ca5b36dbc97bee88c,0x8fffffd4afb6115b954bd326cbe7b4ba576818f6,12188549178246,99972541,8,8,121918969512298382012716,121918.969512298382012716
