conditional_toxicity_count,conditional_toxicity_ece,conditional_toxicity_rate,evaluation_scheme,mean_conditional_toxicity_probability,mean_partial_interval_width,mean_resolution_probability,pool_family,probability_branch,resolution_count,resolution_ece,resolution_rate,test_month
1,0.9968619512609784,0.0,rolling_chronological,0.9968619512609784,0.9467269347730699,0.053273065226929935,eurc_usdc_500,closes_gap,679,0.051800311176856295,0.0014727540500736377,2026-02
1,0.9778947718053922,0.0,rolling_chronological,0.9778947718053922,0.9596521621694143,0.04034783783058554,eurc_usdc_500,closes_gap,667,0.03884858745577295,0.0014992503748125937,2026-03
1,0.9880867767952386,0.0,rolling_chronological,0.9880867767952386,0.9445671383312252,0.055432861668774876,eurc_usdc_500,closes_gap,332,0.05242081347600379,0.0030120481927710845,2026-04
2,0.022438344464353666,1.0,rolling_chronological,0.9775616555356463,0.9495245538761259,0.05047544612387425,eurc_usdc_500,closes_gap,289,0.043555030898960755,0.006920415224913495,2026-05
6,1.9824335431017914e-05,1.0,rolling_chronological,0.999980175664569,0.9561960504516552,0.04380394954834479,eurc_usdc_500,closes_gap,246,0.045767932643074646,0.024390243902439025,2026-06
220,0.2862192086772974,0.6954545454545454,rolling_chronological,0.40923533677724805,0.3502064413648696,0.6497935586351303,eurc_usdc_500,widens_gap,655,0.31391569603971053,0.33587786259541985,2026-02
471,0.19657405495310964,0.554140127388535,rolling_chronological,0.4220453449685202,0.6092270108170178,0.3907729891829821,eurc_usdc_500,widens_gap,807,0.20537949550256726,0.5836431226765799,2026-03
65,0.36156585229906174,0.2923076923076923,rolling_chronological,0.40644102585824493,0.4490862434930806,0.5509137565069193,eurc_usdc_500,widens_gap,391,0.3846733472997582,0.16624040920716113,2026-04
94,0.35423839150382136,0.723404255319149,rolling_chronological,0.3691658638153276,0.5133386274411237,0.48666137255887637,eurc_usdc_500,widens_gap,229,0.20448804966768075,0.4104803493449782,2026-05
76,0.39209213818850924,0.7236842105263158,rolling_chronological,0.3315920723378066,0.542683524870128,0.4573164751298719,eurc_usdc_500,widens_gap,254,0.17614211891979378,0.2992125984251969,2026-06
214,0.02455365264142606,0.9953271028037384,rolling_chronological,0.9707734501623123,0.9350563745721165,0.06494362542788344,paxg_usdc_500,closes_gap,3577,0.00511695503369837,0.05982667039418507,2026-02
229,0.0310274971619805,0.9956331877729258,rolling_chronological,0.9646056906109453,0.9593444379552285,0.040655562044771394,paxg_usdc_500,closes_gap,2453,0.052699513373084296,0.09335507541785569,2026-03
133,0.01191322631471714,1.0,rolling_chronological,0.9880867736852829,0.9324949991344553,0.06750500086554462,paxg_usdc_500,closes_gap,711,0.1195554773341741,0.18706047819971872,2026-04
89,0.021357120799641693,1.0,rolling_chronological,0.9786428792003583,0.84446172435178,0.15553827564822,paxg_usdc_500,closes_gap,574,0.047047534707861036,0.15505226480836237,2026-05
72,3.645725690304413e-05,1.0,rolling_chronological,0.999963542743097,0.8904542273038629,0.10954577269613702,paxg_usdc_500,closes_gap,800,0.019545772696137016,0.09,2026-06
672,0.12054493854653325,0.28869047619047616,rolling_chronological,0.4092354147370094,0.7049292678461888,0.2950707321538111,paxg_usdc_500,widens_gap,3712,0.12199665384527553,0.1810344827586207,2026-02
901,0.1151321599530563,0.2741398446170921,rolling_chronological,0.38119011298531097,0.7163409001825661,0.2836590998174339,paxg_usdc_500,widens_gap,2298,0.13281516779297844,0.39208006962576153,2026-03
513,0.2783751084989611,0.14814814814814814,rolling_chronological,0.4011703899186945,0.40881347230385007,0.5911865276961499,paxg_usdc_500,widens_gap,837,0.08561102103685299,0.6129032258064516,2026-04
239,0.2059860318029257,0.16317991631799164,rolling_chronological,0.36916594812091735,0.5042248807569284,0.4957751192430716,paxg_usdc_500,widens_gap,512,0.0907454039809437,0.466796875,2026-05
345,0.10898756990248581,0.4405797101449275,rolling_chronological,0.3315921402424417,0.5232293233919729,0.4767706766080271,paxg_usdc_500,widens_gap,612,0.1472850104186931,0.5637254901960784,2026-06
14,0.25034714463505914,0.7142857142857143,rolling_chronological,0.9646328589207734,0.9458848475846803,0.05411515241531969,weth_usdc_3000,closes_gap,1399,0.044108004452489094,0.010007147962830594,2026-02
9,0.08034186128641696,0.8888888888888888,rolling_chronological,0.9692307501753058,0.9596426746869481,0.04035732531305181,weth_usdc_3000,closes_gap,816,0.02932791354834593,0.011029411764705883,2026-03
9,0.2103089921064255,0.7777777777777778,rolling_chronological,0.9880867698842033,0.9375635160540516,0.06243648394594846,weth_usdc_3000,closes_gap,600,0.04743648394594846,0.015,2026-04
27,0.015693222381460536,0.9629629629629629,rolling_chronological,0.9786561853444234,0.9223818386027489,0.07761816139725106,weth_usdc_3000,closes_gap,447,0.03767671868393829,0.06040268456375839,2026-05
12,0.00048631772527285566,1.0,rolling_chronological,0.9995136822747271,0.9369477722057256,0.06305222779427445,weth_usdc_3000,closes_gap,1560,0.05535992010196676,0.007692307692307693,2026-06
856,0.03773998787333338,0.37149532710280375,rolling_chronological,0.40923531497613713,0.43562467086524853,0.5643753291347514,weth_usdc_3000,widens_gap,1351,0.09926590195469878,0.6336047372316802,2026-02
643,0.09581770049614391,0.29082426127527217,rolling_chronological,0.38439613221285984,0.5573383582127444,0.4426616417872557,weth_usdc_3000,widens_gap,970,0.22249896308312264,0.6628865979381443,2026-03
448,0.09803827868597075,0.2924107142857143,rolling_chronological,0.36221083339020915,0.3695622014958479,0.6304377985041522,weth_usdc_3000,widens_gap,837,0.09519287616245563,0.5352449223416965,2026-04
345,0.09670215167542223,0.27246376811594203,rolling_chronological,0.36916591979136426,0.4539559448348028,0.5460440551651972,weth_usdc_3000,widens_gap,537,0.12270144490106764,0.6424581005586593,2026-05
1206,0.07056376837101735,0.4021558872305141,rolling_chronological,0.33159211885949674,0.39901860299772557,0.6009813970022745,weth_usdc_3000,widens_gap,1850,0.06650916233198755,0.6518918918918919,2026-06
