conditional_benign_surcharge_usd,conditional_classified_coverage,conditional_false_positive,conditional_taxed_dollar_resolution_rate,conditional_toxic_precision,conditional_toxic_precision_confidence_lower,conditional_toxic_rate,conditional_toxic_recall,conditional_toxic_surcharge_capture_rate,conditional_toxicity_brier_score,conditional_toxicity_ece,conditional_toxicity_log_loss,conditional_true_positive,conditional_unresolved_surcharge_usd,conditional_worst_case_benign_surcharge_usd,confirmed_test_count,current_rule_benign_surcharge_usd,dollar_weighted_partial_interval_width,evaluation_scheme,fold,identified_toxic_surcharge_lower_usd,identified_toxic_surcharge_upper_usd,mean_conditional_toxicity_probability,mean_partial_interval_width,mean_resolution_probability,mean_toxicity_lower_bound,mean_toxicity_upper_bound,partial_benign_surcharge_usd,partial_classified_coverage,partial_false_positive,partial_taxed_dollar_resolution_rate,partial_toxic_precision,partial_toxic_precision_confidence_lower,partial_toxic_recall,partial_toxic_surcharge_capture_rate,partial_true_positive,partial_unresolved_surcharge_usd,partial_worst_case_benign_surcharge_usd,resolution_brier_score,resolution_ece,resolution_log_loss,resolution_rate,test_count,usable_test_count
0.0,0.0,0,,,0.0,0.44916540212443096,0.0,0.0,0.21207839525406447,0.025845302024760538,0.603070601165712,0,0.0,0.0,1977,0.4089700700434374,0.8259497414738342,rolling_chronological,2026-01_to_2026-02,8067.194961514558,85224.94080400676,0.4742491870130121,0.7689641021721918,0.23103589782780823,0.11114451657746033,0.880108618749652,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.11184118190264106,0.06509995109587055,0.35915613593185786,0.1738327618042733,14088,11373
0.0,0.0,0,,,0.0,0.6923076923076923,0.0,0.0,0.3989714641495039,0.4321217519721545,1.0307646149950813,0,0.0,0.0,221,0.3375140896028515,0.6874318307373989,rolling_pool_held_out,2026-01_to_2026-02:eurc_usdc_500,1531.4212840515656,11748.299246240416,0.2691245207262687,0.610254251634007,0.38974574836599296,0.11845323281363762,0.7287074844476448,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.1927037928481718,0.22407858194920133,0.5401430358742849,0.1656671664167916,1627,1334
0.0,0.0,0,,,0.0,0.45936794582392776,0.0,0.0,0.18139578523775676,0.16058026961506114,0.5316336326277878,0,0.0,0.0,886,0.06976737082370815,0.8327356494480421,rolling_pool_held_out,2026-01_to_2026-02:paxg_usdc_500,3761.2915085500313,41986.94255047224,0.5657872645372469,0.7483699299869018,0.25163007001309823,0.12303304522682769,0.8714029752137296,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.1262659794785757,0.1300770449067736,0.40881194919751057,0.1215530251063246,9292,7289
0.0,0.0,0,,,0.0,0.37701149425287356,0.0,0.0,0.24041257390743595,0.08753297725194645,0.6742199967060879,0,0.0,0.0,870,0.0016886096168777156,0.8677983815126721,rolling_pool_held_out,2026-01_to_2026-02:weth_usdc_3000,1974.991003461793,30309.39540924626,0.4629295454978382,0.6792455596380783,0.32075444036192174,0.16147107729638155,0.8407166369344599,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.12012449094396922,0.0825649589966921,0.3722867640955072,0.31636363636363635,3169,2750
0.0,0.0,0,,,0.0,0.41304347826086957,0.0,0.0,0.19636469693805927,0.04751041345938596,0.5698382462203858,0,0.0,0.0,2254,0.16555644967224795,0.8595204326270622,rolling_chronological,2026-02_to_2026-03,1834.5363156977708,23367.94851072417,0.4525279667107794,0.8057476113882109,0.19425238861178915,0.08595890642837452,0.8917065178165854,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.15019036442540531,0.09521323479623538,0.4941835059283961,0.28136312570215954,8977,8011
0.0,0.0,0,,,0.0,0.5529661016949152,0.0,0.0,0.2929089540529839,0.21629637818977307,0.7868240634086919,0,0.0,0.0,472,0.15802970832141736,0.6437508574168423,rolling_pool_held_out,2026-02_to_2026-03:eurc_usdc_500,692.5943240851836,4035.901333017032,0.3408343555779901,0.659767292467887,0.34023270753211293,0.12836281467374674,0.7881301071416338,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.1270937954952178,0.04340842352535596,0.3790287010141253,0.3202170963364993,1651,1474
0.0,0.0,0,,,0.0,0.42035398230088494,0.0,0.0,0.21061348657928916,0.16424122442951233,0.6099416679325678,0,0.0,0.0,1130,0.007525274413612847,0.9637469311406202,rolling_pool_held_out,2026-02_to_2026-03:paxg_usdc_500,323.59145317846276,16540.185202390243,0.5148662752812408,0.7934633298018506,0.20653667019814936,0.08786938925747198,0.8813327190593226,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.1398681306761847,0.11357486748452314,0.5069486418954627,0.23784466428120396,5393,4751
0.0,0.0,0,,,0.0,0.299079754601227,0.0,0.0,0.2217363413638791,0.11656071015989614,0.6372484425942806,0,0.0,0.0,652,1.4669372177395761e-06,0.6887038145134168,rolling_pool_held_out,2026-02_to_2026-03:weth_usdc_3000,386.18546337254537,2474.8396001954115,0.4156404647611231,0.7859041906033832,0.2140958093966168,0.10622237849601383,0.8921265690993971,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.18575636585718092,0.20655718638748566,0.5144657210690178,0.3650615901455767,1933,1786
0.0,0.026518391787852865,0,0.0560617763665464,1.0,0.889744604539564,0.31308810949529514,0.08469945355191257,0.0044078878404077365,0.20254932264056083,0.16548434399726655,0.5853129900726554,31,64.10964746719003,64.10964746719003,1169,0.10608538876963862,0.5362309066161896,rolling_chronological,2026-03_to_2026-04,2008.3057488887807,7528.43751893729,0.4583284334249663,0.6381422610893035,0.36185773891069656,0.15871372102491751,0.7968559821142209,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.17309996723455837,0.0673528090149112,0.5110068489184932,0.31526429341963325,4285,3708
0.0,0.0,0,0.0,,0.0,0.2878787878787879,0.0,0.0,0.204675505154234,0.22211292020801465,0.6331197980080498,0,71.00600867181068,71.00600867181068,66,0.10606717617273395,0.7122918522754262,rolling_pool_held_out,2026-03_to_2026-04:eurc_usdc_500,472.85389608156134,3259.598230566303,0.3106161877247293,0.6167048647459058,0.38329513525409414,0.1369738877708345,0.7536787525167403,0.0,0.0,0,,,0.0,0.0,0.0,0,0.0,0.0,0.20409552513033596,0.2920088282001523,0.5483348383218833,0.0912863070539419,781,723
