block_number,timestamp,tx_hash,log_index,event_type,tick_lower,tick_upper,amount,amount0,amount1
24690147,1773906623,0x1b6529efaaa6896ac7b229c5813d2901e0a6684d5398d6d7b83d47cf5fa13ec3,317,mint,199510,199520,1195801743850156,10101475,8181375038182579
24690151,1773906671,0x2e829761b9d636a1cfc93e597492fb7fc6d8c4aa8fab6d50ff594f546a0566fa,307,burn,199510,199520,1195801743850156,19366951,3903303452487065
24690156,1773906731,0xe23a8becdb2a74f494a8c818b3eedd903bdbc96281f9b45809d0d76cff89d8d7,483,mint,199500,199510,3554107676776532,4226292,36213985735082785
24690158,1773906755,0xa8d56f7aa404de205f4554eaf6c5477971efd3eaa828706ff46f8970f3074f12,314,burn,199500,199510,3554107676776532,26014125,26160638671815997
24690169,1773906887,0xf810ad51e15ce697314128a89bcd36970a28aebbaa5614f6802fa9683f6e9f2a,646,mint,199480,199490,3438814443893430,41166578,17933715016488726
24690172,1773906923,0x6207074d1653a201065d37b5bc79a5c3afb6424584077a71957c5b81c6cd9c3b,370,burn,199480,199490,3438814443893430,26782105,24556143393497363
24690174,1773906947,0x45fd503679f7524d4939bbd6238dc88daddb0b28cf65b14acf8dc4e535414bf2,397,mint,199480,199490,3453688887062416,26792153,24711071862918933
24690179,1773907007,0xc0bdd388c99f2e2c25ca04c43ac9f00ba7e4f27dc082a905f55e9e9273b2c2cf,358,burn,199480,199490,3453688887062416,47685074,15092609133931605
24690201,1773907271,0xe7412c464ce742d83269d176c5899871bac7dfb0e5f439cb9823773cea957ec5,246,mint,199490,199500,2674802170373551,12009109,23171769500162427
24690205,1773907319,0xe0f6b6000e699fbd5a81a9262c80793e1888a53e6e8e1a9452a96d0157794c3b,824,burn,199490,199500,2674802170373551,15505788,21560004749018322
24690206,1773907331,0xf073b90b88d58d3deea12e2a5d5574a5ce73255ebd50129b4260a9053fb7cfdc,287,mint,199490,199500,2674802170373550,15505789,21560004749018315
24690207,1773907343,0x6f1bf37b3207b347c381ff25bb7754e87db84bd1a0297eb8f4266945249436f1,1017,burn,199490,199500,2674802170373550,21606839,18747993701788876
24690208,1773907355,0x1f812cf94f38afb8af36ebeae56208f679a18215c303b5185a6a6553f2697395,252,mint,199490,199500,2674939356080277,21607948,18748955252065073
24690209,1773907367,0x11dd722a011e09e5a937bf2be4adda387dea339d4484bda0c7c556fdd3bff12e,350,burn,199490,199500,2674939356080277,17634379,20580365454019256
24690212,1773907403,0x8596f11d7def6a274123ba6fdd5159aedb73167623ae9e51279203d3f9724e75,234,burn,197620,199620,100721414267711,25190590,195344063683122485
24690214,1773907427,0x7ea5565281d21b09e01b312727f5bf253a27e65dc5a7a29b37bd48b23a3903d3,252,mint,199510,199520,3114178476760252,53322758,8832851423360703
24690221,1773907511,0x5c9d9e7e7d53a2f26273a1088401784662605e8c6eefbc51dd37fd3deafc7968,477,burn,199510,199520,3114178476760252,0,33457105474745527
24690223,1773907535,0xcc1fad5034b05d8990a187453eb8efd9ee6bfe88de70592aebb1a33b6d9de3a0,308,mint,199520,199530,269489270,4,1047576126
24690227,1773907583,0xf67ebf35492ec42ed753342ac46e5d2cae42a085312a9fc63502fec50ea2eeec,614,burn,199520,199530,269489270,3,1047621110
24690228,1773907595,0x9e9f8c9cab83183f31b9482a7966c98daaa3cbb0b493817319f128104a041c90,134,mint,199520,199530,202121871,3,785734954
24690231,1773907631,0x282545b4473df8997dae19bc4a19c9d685f56a5532ddd3e4122cdb2886c97259,810,burn,199520,199530,202121871,1,1524322270
24690232,1773907643,0x0632126d82061af192cb88920885f3290059c8e95d0283fd9709975410a0723b,206,mint,199520,199530,144160718,1,1087202449
24690233,1773907655,0x76fb3c969562ba3f1a9959ac5a2dc9547e8f283b18f8223a4b286184a9e8d6d6,673,burn,199520,199530,144160718,2,236963159
24690239,1773907727,0x94315587b67f265be817d3430b5f62b8a7feb9158bdabf573091bb7c6fdb7b6c,382,mint,199510,199520,176605546,2,973649930
24690241,1773907751,0xaffa5144cbe00ad17374ce0bc1856650fe0b61a301a6742b561efd235f59b84a,506,burn,199510,199520,176605546,1,1045839556
24690257,1773907943,0xaa241a20ad8c5156c2dc9376d5e8b6eeff84722a188856a4da2cd28124a2efe0,396,mint,199500,199510,112708712,1,748861597
24690259,1773907967,0x3ccc10774a155c33db094002f16b74914e5aed53e63598c0a4755cb25e232a07,389,burn,199500,199510,112708712,0,1081264915
24690260,1773907979,0x3768a4d9f5d7f1cce6d6d667858acaacb68141d3bfa5094e2842d5ac81c98b58,306,mint,199490,199500,4212768513733733,0,45214547594115263
24690265,1773908039,0xc7fb52a9f42ea620da3611b25ba21b5b04e78f8f3f1594867a362569627af7f4,504,burn,199490,199500,4212768513733733,0,45214547594115262
24690266,1773908051,0xafa089fca518d1727cb5b3fbd691b11164c648864233d059f045faa19301f2c0,63,mint,199500,199510,4210662761244725,0,45214547594115255
24690273,1773908135,0x546db6dc60034ed500791c76eb5c3b2e1238fdc23347aed3c339355fe2bcff9b,389,burn,199500,199510,4210662761244725,2819101,43913538137432048
24690274,1773908147,0x231d0d3b8edd9af34a557f54657b170c9dafbf311bcf6cde2c7a9c249ed79deb,340,mint,199500,199510,3739312447662059,2820158,38851642735179745
24690275,1773908159,0x41979845af80f610b6e83ff6ec98f5a9cfe498989a014c7a19c4159f3244f578,265,mint,198220,202140,174921502296616,1003706998,234513297777463566
24690275,1773908159,0x85427fcd4cdc9a14cb5bb242dad046991e98ce312a151700b766b0b8b7ae372e,390,burn,199500,199510,3739312447662059,9301700,35860589568327345
24690276,1773908171,0xffe61371edcd7aef967884123bc8750f9334741d7144e012544168e58ccf88c9,476,mint,199500,199510,3785301839193737,9304144,36353298203592669
