solver_count,solver_competition_mode,pool,pool_label,window_id,trigger_count,clear_count,auction_clear_rate,recapture_pct,mean_solver_payout_bps,winning_solver_profit_bps,mean_solver_payment_quote,mean_winning_solver_profit_quote,mean_delay_seconds,stale_time_share,observed_time_span_seconds,cumulative_stale_time_seconds,total_gross_lvr_quote,total_fee_revenue_quote,total_solver_payment_quote,total_winning_solver_profit_quote
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23479243_23486442_w01,33,30,0.9090909090909091,97.88694592382143,76.20856129940482,48.459470526109946,10.690484376504164,6.797861076496773,285.8181818181818,0.2647261691267761,86988.0,23028.0,42083.79292650807,41194.53962466394,320.7145312951249,203.93583229490318
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23486443_23493642_w02,24,21,0.875,98.20009347166959,78.76210150592068,51.93769790863816,15.67192255869916,10.334457358785702,233.7391304347826,0.15068874356476972,86244.0,12996.0,41785.37233518872,41033.27469064049,329.1103737326824,217.02360453449975
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23493643_23500842_w03,30,24,0.8,98.46147675867701,85.76981776754175,56.58432076890267,17.07374793215983,11.263944064089273,246.92307692307693,0.1855858387187412,85416.0,15852.0,47775.54168092298,47040.50386849403,409.76995037183593,270.33465753814255
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23500843_23508042_w04,15,12,0.8,98.06044689554814,78.99226619162917,39.640904400625665,14.532652756076573,7.292960771546628,331.38461538461536,0.30557095343680707,86592.0,26460.0,22077.07684317572,21648.880213891684,174.39183307291887,87.51552925855954
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23508043_23515242_w05,20,16,0.8,97.66050986701619,40.1058877486101,21.000553548376068,12.638034592985731,6.617624920306715,279.7894736842105,0.3053583855254001,86220.0,26328.0,50418.6703845695,49239.13056574087,202.2085534877717,105.88199872490745
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23515243_23522442_w06,21,19,0.9047619047619048,99.17532554566017,82.4674454339822,55.645223575567904,21.147941824054403,14.269654465102377,193.26315789473685,0.2751798561151079,86736.0,23868.0,48723.577230083596,48321.76633542656,401.81089465703366,271.12343483694514
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23522443_23529642_w07,31,29,0.9354838709677419,97.81662989661636,54.40665120829577,27.052401027231355,6.863760976955375,3.4128403491105868,185.41935483870967,0.09170305676855896,85188.0,7812.0,36585.42915454342,35786.63383218851,199.04906833170588,98.97237012420702
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23529643_23536842_w08,23,18,0.782608695652174,99.11578009840102,85.99120632635831,56.72919332247485,16.663329641944834,10.992952524312457,209.05263157894737,0.35757997218358833,86280.0,30852.0,34880.30304129695,34571.88446006777,299.939933555007,197.87314543762423
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23536843_23544042_w09,29,25,0.8620689655172413,86.83776495170726,58.68637046623681,37.87800689945709,15.04063992915109,9.707696326805518,232.44444444444446,0.18688750862663905,86940.0,16248.0,64072.11678648711,55638.79417463304,376.0159982287773,242.69240817013792
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23544043_23551242_w10,106,104,0.9811320754716981,99.75093200103414,24.743808995392563,13.13647732360017,20.684754577220893,10.981527116479674,87.77142857142857,0.1767306895122288,86844.0,15348.0,869395.0379392038,867229.6531151001,2151.214476030973,1142.078820113886
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23551243_23558442_w11,70,67,0.9571428571428572,98.5639180281177,60.38674371061771,33.154539689796,1.8408552511059628,1.0106971288009814,142.95652173913044,0.20864999309105983,86844.0,18120.0,20424.56576482254,20131.252258038676,123.33730182409951,67.71670762966575
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23558443_23565642_w12,53,53,1.0,99.55219064485534,44.78093551446579,27.423330753977982,25.74544148044,15.766212764742708,119.09433962264151,0.10995562950637826,86544.0,9516.0,304707.43471237586,303342.92631391255,1364.50839846332,835.6092765313635
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23565643_23572842_w13,44,43,0.9772727272727273,98.54484994816221,80.03523926736871,53.16584433158859,10.574634193414905,7.024522704460882,204,0.15755894590846048,86520.0,13632.0,56813.6329046037,55986.90929594143,454.70927031684096,302.05447629181793
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23572843_23580042_w14,63,60,0.9523809523809523,99.32280269666403,31.17459608497502,19.032464164453277,12.306999427678205,7.513570502750594,144,0.14621013392240784,86916.0,12708.0,236865.92879918113,235261.87911683138,738.4199656606924,450.8142301650356
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23580043_23587242_w15,52,50,0.9615384615384616,99.27757814674061,72.24218532594024,43.32538855221366,11.027092163469762,6.613214293392222,135.36,0.1423794928949568,86136.0,12264.0,76320.31141996909,75768.95681179561,551.354608173488,330.6607146696111
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23587243_23594442_w16,50,46,0.92,97.79211507963286,55.9646451617319,30.946608785110204,11.569110124078295,6.397337532777261,165.55102040816325,0.13674496644295303,85824.0,11736.0,95092.01106692635,92992.48889410585,532.1790657076016,294.277526507754
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23594443_23601642_w17,58,57,0.9827586206896551,99.41199017539432,58.800982460569124,30.914183509293757,15.046876488139947,7.910784506159658,101.05263157894737,0.12921741565168696,85716.0,11076.0,145860.14109528126,145002.4691354573,857.6719598239771,450.9147168511005
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23601643_23608842_w18,27,20,0.7407407407407407,97.13435867900924,62.01619126416487,31.589889436373003,9.463782747255483,4.82067415849842,280.90909090909093,0.3274789102475453,86772.0,28416.0,30520.361068107024,29645.756990023772,189.27565494510964,96.4134831699684
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23608843_23616042_w19,43,36,0.8372093023255814,98.69272515769268,50.34920689718777,29.39474383318071,16.13355279240338,9.419049090886139,210.76923076923077,0.25841762505196064,86604.0,22380.0,115355.91845816388,113847.89955704776,580.8079005265215,339.085767271901
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23616043_23623242_w20,34,32,0.9411764705882353,99.32176849413094,67.82315058690736,37.96590116020212,12.734988259585807,7.128765050810004,172.875,0.1855641592920354,86784.0,16104.0,60085.622796976604,59678.103172669864,407.5196243067458,228.1204816259201
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23623243_23630442_w21,58,55,0.9482758620689655,99.52102573732289,47.897426267711694,19.835228136820675,11.309003924278564,4.683271948361045,103.63636363636364,0.2070367255396692,85608.0,17724.0,129859.84097742982,129237.84576159451,621.995215835321,257.5799571598575
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23630443_23637642_w22,48,47,0.9791666666666666,99.33288013909348,66.7119860906514,39.39303259070644,18.19874986915647,10.746253989974642,133.27659574468086,0.21259187352655665,86532.0,18396.0,128214.02778926054,127358.68654541018,855.3412438503541,505.0739375288082
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23637643_23644842_w23,33,31,0.9393939393939394,99.44559647700856,52.52416794856705,25.530360954821266,12.355172102611304,6.005464070320605,145.125,0.22265193370165745,86880.0,19344.0,72920.78106901256,72516.50568977308,383.01033518095045,186.16938617993878
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23644843_23652042_w24,31,27,0.8709677419354839,99.24542669168183,68.70976013025408,39.88658629629438,14.534095759660122,8.437163274290503,222.20689655172413,0.33245528906141686,86556.0,28776.0,57112.78641737447,56681.82857543219,392.4205855108233,227.8034084058436
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23652043_23659242_w25,20,15,0.75,98.63966209504291,136.03379049570842,91.00757727895368,10.312003892507718,6.898804243625589,337.6,0.5355062413314841,86520.0,46332.0,11370.708544102183,11216.028485714567,154.6800583876158,103.48206365438384
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23659243_23666442_w26,34,28,0.8235294117647058,99.49257128345356,50.742871654644496,29.427067672876984,14.270968432292939,8.276093569807596,183.85714285714286,0.39571823204419887,86880.0,34380.0,78747.43842323084,78347.85130712664,399.58711610420227,231.7306199546127
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23666443_23673642_w27,30,29,0.9666666666666667,99.27652686588212,55.68352883432411,26.935304306432563,7.827844478753789,3.7864944537906733,164.4,0.1916919679823351,86952.0,16668.0,40767.43960665246,40472.498133630594,227.00748988385988,109.80833915992953
1,single,weth_usdc_3000,WETH/USDC,weth_usdc_3000_month_23673643_23680842_w28,38,37,0.9736842105263158,99.20851603489122,57.77356702346577,28.26473318634219,15.5373026299458,7.601360551140959,143.05263157894737,0.24043111786651927,86844.0,20880.0,99505.74751157337,98718.17547565763,574.8801973079946,281.2503403922155
