solver_count,pool,pool_label,window_count,trigger_count,clear_count,auction_clear_rate,recapture_pct,mean_solver_payout_bps,winning_solver_profit_bps,stale_time_share,total_gross_lvr_quote,total_fee_revenue_quote,total_solver_payment_quote,total_winning_solver_profit_quote
1,weth_usdc_3000,WETH/USDC,31,1238,1146,0.925686591276252,99.00095329901193,48.566047968119484,27.591574520324002,0.23003716533160135,3420869.0932756094,3386693.0134541187,16613.809247668065,9438.716451138718
1,wbtc_usdc_500,WBTC/USDC,31,800,778,0.9725,99.42437756769736,49.46277136548425,22.968471026073782,0.2408080808080808,92849.54690155324,92315.08408129655,459.2595909780335,213.26121277924045
1,link_weth_3000,LINK/WETH,31,2176,1658,0.7619485294117647,98.67522340832154,28.910231456703745,21.174409986191886,0.49807398432060473,1752.9515916724042,1729.7288993224734,5.067823624764644,3.7117715688019115
1,uni_weth_3000,UNI/WETH,31,1652,1166,0.7058111380145279,96.37544907897696,48.783991718654605,38.69517313565921,0.46142222504571795,107.9459299923798,104.03337479263412,0.5266033354810726,0.41769864503448845
2,weth_usdc_3000,WETH/USDC,31,1241,1164,0.9379532634971797,99.33878060444465,39.57748805321293,24.436641350957835,0.21189200404127878,3397429.9114707382,3374965.445945695,13446.174173286141,8302.177626162686
2,wbtc_usdc_500,WBTC/USDC,31,801,782,0.9762796504369539,99.51125770530396,40.838734909849826,22.106780328751643,0.2305185185185185,93588.79994182296,93131.39189340881,382.2048191355077,206.89470415453647
2,link_weth_3000,LINK/WETH,31,2254,1762,0.7817213842058562,98.80153523589189,26.32522422681873,20.728102750051548,0.4760333119331591,1811.512731042814,1789.8023892639335,4.768847883443885,3.7549222022081947
2,uni_weth_3000,UNI/WETH,31,1698,1233,0.726148409893993,96.54484543752999,46.590740853469434,39.28033501869054,0.4448140198663176,110.17616207040716,106.36940537987712,0.5133189015252188,0.4327756557199139
5,weth_usdc_3000,WETH/USDC,31,1249,1190,0.9527622097678142,99.60075426359985,24.122378905347297,15.049776311643196,0.18763982102908278,3387435.4161718907,3373911.224699516,8171.300062629116,5098.0145283524935
5,wbtc_usdc_500,WBTC/USDC,31,799,789,0.9874843554443054,99.67513568349239,27.090847722555697,15.867987081325444,0.21536700336700337,92264.75373353205,91965.01847193818,249.95303935542194,146.405592030536
5,link_weth_3000,LINK/WETH,31,2432,1995,0.8203125,98.96554016477901,22.115557404691323,18.617255682622844,0.4342939298857954,1926.5992651173847,1906.6693695340828,4.2607816643539635,3.5867991116643623
5,uni_weth_3000,UNI/WETH,31,1826,1420,0.7776560788608982,97.98008486137722,29.32219696704195,24.57353012536964,0.4003076601943069,119.2866883146156,116.87719843898692,0.34977477703073,0.2931295028854785
10,weth_usdc_3000,WETH/USDC,31,1260,1219,0.9674603174603175,99.82124639307548,12.149210337518399,5.914905727026242,0.16354099011330014,3432838.9182619536,3426702.594875652,4170.628207278361,2030.49185775862
10,wbtc_usdc_500,WBTC/USDC,31,803,794,0.9887920298879203,99.82022805071314,15.696923788002271,8.04669396412048,0.20677890011223343,92724.76606362831,92558.07294420405,145.5493586161113,74.61278154086816
10,link_weth_3000,LINK/WETH,31,3039,2907,0.9565646594274433,99.67977339057762,11.565514642870978,8.553071025305071,0.21650043855286596,2085.6899249047556,2079.010990775169,2.412207736697442,1.7839054064473574
10,uni_weth_3000,UNI/WETH,31,2094,1903,0.9087870105062082,99.48379914456453,14.072535344570774,10.184496847028106,0.24663184691409565,132.37851776901232,131.69517872787588,0.1862901370166316,0.134820859683276
