solver_count,pool_count,window_count,trigger_count,clear_count,event_weighted_clear_rate,macro_recapture_pct,macro_solver_payout_bps,macro_winning_solver_profit_bps,macro_stale_time_share
1,4,124,5866,4748,0.8094101602454824,98.36900083850195,43.93076062724052,27.60740716706222,0.3575853638765012
2,4,124,5994,4941,0.8243243243243243,98.54910474579263,38.33304701083773,26.637964862112895,0.3408144635898185
5,4,124,6306,5394,0.8553758325404377,99.05537874331213,25.662745249909065,18.52713730024028,0.30940210361904713
10,4,124,7196,6823,0.94816564758199,99.7012617447327,13.371046028240606,8.174791890869976,0.2083630439231238
