vintage,windows,rows,TP,FP,FN,TN,pipeline_precision,precision_corrected,recall,fpr,missed_toxic_share,coupling_12s,coupling_3600s
fixed_tree,72,46532,965,0,3033,2608,,1.0,0.24137068534267134,0.0,0.7586293146573286,0.31505442004506623,0.24673212809730638
post_data,124,89220,3022,0,14380,5241,,1.0,0.17365820020687278,0.0,0.8263417997931273,0.10818905085138703,0.09428367064893878
pre_both,460,267094,2521,184,19248,41533,,0.9319778188539741,0.11580688134503192,0.004410671908334732,0.8841931186549681,0.19334566521288826,0.15024930394786015
