group,base,vs_fixed,vs_hook,vs_fixed_bps,vs_hook_bps,auction_share_of_gain
oct2025/link_weth,-71.91594239825325,498.24218806860847,49.969988229069145,-69281.18737698835,-6948.38815465246,0.10029256740135427
oct2025/uni_weth,-12.734937010862295,84.92088356545217,7.2586469719365745,-66683.39505175306,-5699.790242971201,0.08547540566204806
oct2025/wbtc_usdc,55177.77428876183,831187.0640857172,161152.18326136272,150638.01952863595,29205.995591269242,0.19388196739878966
oct2025/weth_usdc,13.660222505795812,383.3005302599453,66.48698583045976,280596.11042010266,48671.96401980305,0.17345915432303177
study_eurc/eurc_usdc,76504.1900529107,64819.08139018518,10516.45165504381,8472.618472969385,1374.6242719216525,0.16224314552899846
study_recent/weth_usdc,783751547.8362288,2164359.090914706,14944.516163654842,27.615372459423405,0.190679255497657,0.006904822876382754
study_rwa/paxg_usdc,32039.684964935495,331707.0523530504,132742.00155490785,103530.06052215351,41430.495243689766,0.40017841228658807
