timestamp,block_number,tx_hash,log_index,pool,token0,token1,token0_decimals,token1_decimals,sender,recipient,direction,token0_in,token1_in,token0_out,token1_out,amount0,amount1,sqrt_price_x96,sqrtPriceX96,liquidity,tick,pre_swap_tick
1773907067,24690184,0xdef4f3e74d3cb95a4cbe74726f4bc2567bef0b079dac5c5d13d0f4d5899170fa,28,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0xd226997439ecfbeff8e110c8c78c8a7eefd19f89,0x5ae13baaef0620fdae1d355495dc51a17adb4082,zero_for_one,824999,0,0,578701203,824999,-578701203,2098755865912554051803402892001,2098755865912554051803402892001,176500365147,65538,65538
1773907067,24690184,0x166d947fa46f8fdab870c09541ec2c6511f1641eb8f69374fd262997bc74e597,68,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0xd226997439ecfbeff8e110c8c78c8a7eefd19f89,0x5ae13baaef0620fdae1d355495dc51a17adb4082,zero_for_one,300101,0,0,210471740,300101,-210471740,2098661388548682924299138496486,2098661388548682924299138496486,176500365147,65537,65537
1773907091,24690186,0x9eead7fad26221acd7fffd928c5d75b2d28c4b6b6650ac351b5a012f0ad84f6d,186,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f,zero_for_one,1572350,0,0,1102439977,1572350,-1102439977,2098166521053117525298159907614,2098166521053117525298159907614,176500365147,65533,65533
1773907139,24690190,0x3f81ffe44c3ad42d6a86c8e8d00ab0572fe991aca9decfb26f639433a8a270b8,56,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f,zero_for_one,1031943,0,0,723255973,1031943,-723255973,2097841863131094558718444330261,2097841863131094558718444330261,176500365147,65529,65529
1773907151,24690191,0xbf5271ec0661b0e7ad6b7a8c7df21c30d5cbadbc2c4883a05b171e5cfb3643a5,98,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0xe592427a0aece92de3edee1f18e0157c05861564,0x4a14347083b80e5216ca31350a2d21702ac3650d,zero_for_one,379295,0,0,265779292,379295,-265779292,2097722559100358337467724622975,2097722559100358337467724622975,176500365147,65528,65528
1773907175,24690193,0x2140b5692ac24fb7233da92833bb81376e3780e8e8aac4daf576769b3007af41,158,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0x0bb7a4fdea32910038dec59c20ccae3a6e66b09f,0x111111125421ca6dc452d289314280a0f8842a65,zero_for_one,643025,0,0,450510987,643025,-450510987,2097520331996101057609719453326,2097520331996101057609719453326,176500365147,65526,65526
1773907247,24690199,0x682e428e851b4ebbefee73a54abaa163026af5f040da433320c5fe742386c28e,295,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0x6e2743c18690d05dd2ea1ecb7fe86322fcd6e491,0x6e2743c18690d05dd2ea1ecb7fe86322fcd6e491,one_for_zero,0,348120241,496394,0,-496394,348120241,2097676519415159924265175098484,2097676519415159924265175098484,176500365147,65528,65528
1773907295,24690203,0xc4862811d14b1f577c9b6bd0c70533506b443e87b0e009f27636a6e9bd85ae22,680,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0x6747bcaf9bd5a5f0758cbe08903490e45ddfacb5,0x5e1f62dac767b0491e3ce72469c217365d5b48cc,one_for_zero,0,98325960,140192,0,-140192,98325960,2097720634281651064272368979393,2097720634281651064272368979393,176500365147,65528,65528
1773907343,24690207,0x779bd1fdf602470d7179e7e46d17508bf61bf8df678e2a5cb3c2698f66083e53,311,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0x5050e08626c499411b5d0e0b5af0e83d3fd82edf,0x5050e08626c499411b5d0e0b5af0e83d3fd82edf,one_for_zero,0,519043930,739950,0,-739950,519043930,2097953508221331913922741622782,2097953508221331913922741622782,176500365147,65530,65530
1773907391,24690211,0xae6d2949d615f374d591fa5ea5855123b0e5d9e5d1e2501b994334b6d81ae00b,148,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,8,6,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f,zero_for_one,795859,0,0,557698681,795859,-557698681,2097703166292881673065413076660,2097703166292881673065413076660,176500365147,65528,65528
