timestamp,block_number,tx_hash,log_index,price_wad,price
1760079659,23545707,0xd9df5488278d3bb54ca8492e8ca495f7754e91f6c29784b4a73fa1289851f2fe,251,4344339198015543575022,4344.339198015543575022
1760079959,23545731,0xab0e75aae70c4eec2255e60c58783f28cf17e2c96f5124ec6413c06bcda46cc6,316,4322504175960470908308,4322.504175960470908308
1760083223,23546003,0xe378725dae559bd7f14e27f9e3f97bf1ce60f431459cc20751a4625dbc3e9554,225,4325997475049261330105,4325.997475049261330105
1760083223,23546003,0x03d2a80a72099c6a50be173c120f91942dae58bc53c7c7fdc6ba7ed786f0f54c,246,4325924566451339102929,4325.924566451339102929
1760086679,23546288,0x3aa5566d86c7074b00e19e49526a8620fccdd8c17344d69a841d0442a373ac32,206,4348226436054845090230,4348.22643605484509023
1760089859,23546549,0xd4fb68d4609551da3cc300982e7e02408c002717863d9751f87844d48d1689ed,363,4323841626842761534621,4323.841626842761534621
1760093435,23546846,0x0c6a71f6cdc2b41a80fcc12f6946e3887bf9e5c2fbc8e1c0c9d8f4e833f9470e,895,4346736506886442845292,4346.736506886442845292
1760097059,23547147,0xc72e0f72336c3c96e49f6f3ac62d9125207ee23287620e74f70daf5fd794c6ff,126,4342121291153209306563,4342.121291153209306563
1760100659,23547446,0x7eab469820d2e722a15724f8a144d89c37126ad12d79c739373abbfaaf30144a,199,4344619755720931916638,4344.619755720931916638
1760102435,23547593,0x2e0b46cb304c2fed78fab39d57b17182993ae7c67eaeb13a06bf28bb44b910aa,117,4368011439388305617342,4368.011439388305617342
1760103611,23547691,0xb640bd4c67cca26843776afc739df2485497adf2d3e011f481b591c7bcc000a0,453,4392259021010328351488,4392.259021010328351488
1760104175,23547738,0xbfdc715163103709d0e1b98f46450dbb70154995aa0882a1f2f3881d31c13d9b,110,4369618665688591523283,4369.618665688591523283
1760105807,23547873,0xa995e0c2a410ebee9e096783e3a85e06a13095a831525a12f967436d48065f8f,181,4347626696630386766939,4347.626696630386766939
1760106275,23547910,0x060be42853643308b70e852b3eceb32b06614f78dc516b43c2c156c09e32aa9c,12,4325668111157893304957,4325.668111157893304957
1760108375,23548081,0x1d6eb5d09e03a50341b9c6a9e84907356852ad6d75c9d4a7b8b4b62db77cc2f2,896,4290630483957655574285,4290.630483957655574285
1760108495,23548091,0x42bba2ce7c3034a1af8b75a0b689cdef2c78e73b078ed0b05f0579d56b54f75b,1100,4267293130180698015782,4267.293130180698015782
1760109491,23548173,0x83550273cf28da553715c3fd64d63a700b3bdfa48cc388abf047e02a068bf6c0,388,4243170050696305917606,4243.170050696305917606
1760109671,23548188,0x692be82a0509d799a784e45a38ffa35c51df619fbdc2afd1a22bc8a86c779efa,290,4218708317677913047166,4218.708317677913047166
1760109755,23548195,0x75f5f3ba3b9623be7a138d53edfb97f1d80edca37b0a86840a6c8744591b5201,51,4191437582420692970706,4191.437582420692970706
