pool,quote_asset,observed_blocks,unprotected_lp_loss_native,fixed_fee_lp_loss_native,auction_lp_loss_native,auction_recapture_ratio,auction_recapture_pct,hook_only_stale_time_share,hook_only_reprice_execution_rate_by_quote,unprotected_lp_loss_usd,fixed_fee_lp_loss_usd,auction_lp_loss_usd
WETH/USDC,USDC,956,830981.8552615083,531201.8461690432,0.08309818552615082,0.9999999,99.99999000000001,0.7068412985927268,0.0,830981.8552615083,531201.8461690432,0.08309818552615082
WBTC/USDC,USDC,1168,21434.44851322093,10788.227051912258,0.07996793846141569,0.9999962691860995,99.99962691860995,0.707412042831317,0.0,21434.44851322093,10788.227051912258,0.07996793846141569
LINK/WETH,WETH,1183,1518.9189882891117,1302.6207419917212,44.55319727735662,0.9706678251961676,97.06678251961675,1.0,0.0,6402855.277558233,5491071.055680937,187809.67024497947
UNI/WETH,WETH,642,57.91752992431672,50.2904222300793,10.735368226507717,0.8146438869106456,81.46438869106456,0.9900469216550547,0.0,244145.71481310812,211994.38407784593,45253.90072517974
