tick_index,liquidity_net,liquidity_gross
266470,-21271375089819,21271375089819
266480,-76359300267757,76359300267757
266500,-1944523477063358,1944523477063358
266540,-35248988542251,35248988542251
266550,-4929273416387,4929273416387
266570,-82683360441294,82683360441294
266580,-5904656424165015,5904656424165015
266590,-2623823835785,2623823835785
266620,-263316786487480,263316786487480
266650,-1444519069875083,1444519069875083
266670,-16456567244361,16456567244361
266770,-195132589157099,195132589157099
266840,-13931432849235,13931432849235
266870,-424528955248988,424528955248988
266910,-479103673556404,479103673556404
266930,-12838662668450991,12838662668450991
267020,-579630122274589,579630122274589
267080,-644160404000378,644160404000378
267090,787298961591,2386356757509
267110,-14542731422309,14542731422309
267140,-59843598677646,59843598677646
267150,-341873139356879,341873139356879
267160,-1478475323756113,1478475323756113
267180,-23804105030,23804105030
267220,-6516841617561,6516841617561
267310,-1666690695212,1666690695212
267380,-487982904421,487982904421
267600,580736263728,580736263728
267650,-24902046045122,24902046045122
267700,-301893952932871,301893952932871
267840,-169903085549670,169903085549670
267880,-4990948856730,4990948856730
268000,-10219586239826,10219586239826
268020,-252621285851,252621285851
268090,-1586827859550,1586827859550
268120,-580736263728,580736263728
268310,-88828657016577,88828657016577
268320,-32806111588,32806111588
268330,-11068856313619,11068856313619
268340,-76134234717873615,76134234717873615
268370,-1313024632585,1313024632585
268440,-39443719374705,39443719374705
268530,-74025135210,74025135210
268610,-2133989918422460,2133989918422460
268900,-29122846265607,29122846265607
268980,-15777524417399,15777524417399
269120,-2475590075972,2475590075972
269180,-161281662242963,161281662242963
269190,-68981213992712,68981213992712
269260,-11500402166616,11500402166616
269330,-5043767370,5043767370
269350,-94242370755129,94242370755129
269390,-604779827298779,604779827298779
269820,-9331269217020,9331269217020
269910,-1338899019921,1338899019921
269990,-237922901823,237922901823
270010,-7350126326233,7350126326233
270180,-28571084775497,28571084775497
270220,-41529602732324,41529602732324
270450,-61289819165,61289819165
270480,-9183373160351,9183373160351
270530,-210530098160,210530098160
270880,-49846653881,49846653881
271020,-9308243818357,9308243818357
271050,-62307512333401,62307512333401
271150,-2274722141634,2274722141634
271220,-53154462960723,53154462960723
271250,-1241779201287,1241779201287
271360,-119194674927768,119194674927768
271570,-52537136844993,52537136844993
271620,-10630784657954,10630784657954
271920,-296001329860,296001329860
272170,-10111408935567,10111408935567
272270,-30752227328474,30752227328474
272410,-694661038316,694661038316
272510,-1769727249886,1769727249886
272570,-3007224488639,3007224488639
272730,-134166981578573,134166981578573
273450,-489425972805424,489425972805424
276320,-9357652653786,9357652653786
276330,-9373646449551,9373646449551
278970,-394864690961,394864690961
279210,-293452588127,293452588127
368430,-6783676710783,6783676710783
887220,-8299810745764,8299810745764
887270,-298734921940814,298734921940814
