block_number,timestamp,tx_hash,log_index,event_type,tick_lower,tick_upper,amount,amount0,amount1
24690183,1773907055,0x9e02fd325d87a76c2b9f9b7dcf5f9bc2f21f57c7184e593d8f7fda3aa5706337,1227,burn,263040,266110,0,0,0
24690498,1773910847,0xc7027903b62189bbf8f14c40f4d2f2ddef722c20fc178d9a01ac2bb551566467,316,burn,264350,265490,170054600369237,6761660,3244410975278103419
24690527,1773911195,0x84b8f35345ad0f2ba9722e7f0ff1c693b9161d8bdff5ea02d71ac9478c51c692,608,burn,264530,266140,0,0,0
24690798,1773914447,0x4bc7ffeb98c3be1b433f428b115b7f33c8a57714667212db45ef220b14a08bd9,209,mint,264970,264980,1967179447740137472,311687583,457412627583011018087
24690798,1773914447,0x031786344d1dcd84639a9be5fbb06ac6e4fd1e407b000422e65e89571551d7e1,213,burn,264970,264980,1967179447740137472,315309431,456247934289551529589
24691017,1773917075,0x51283137cdc95d21b9c9ec0463773f0e28ca5355bd902828880ec60227aadc6b,87,mint,264500,265460,71971518768681,2938037,990839426005868455
24691054,1773917519,0x5f02f9ee0de1b8d46b1f027a195abe97aa9da218ebaa96b7e9df4210231ae013,1085,burn,263960,265540,0,0,0
24691280,1773920243,0xc1001519880306406ba6de20542c086ebcbcf779aaca35183f0e5605715879c3,154,burn,257500,271360,0,0,0
