block_number,timestamp,tx_hash,log_index,event_type,tick_lower,tick_upper,amount,amount0,amount1
23543775,1760056331,0x580c32a167b50d4b84e2b66de5beceaadc08830e559ec77d5bef5536dc096528,77,burn,-61740,-45540,6909700939839946502,84032875987053461138,0
23543979,1760058839,0x66246c514f52fe697b908001c0810182cec93d69813e0c58998c08c49b0f6866,412,burn,-63600,-59280,0,0,0
