tick_index,liquidity_net,liquidity_gross
-60780,4862865482683551377969,4956486449794240627585
-60720,134744419944696422637,134744419944696422637
-60660,395763786113180384839,537503034917289966681
-60600,1034589004876836052654,1034589004876836052654
-60540,2698821424533556819339,2698821424533556819339
-60480,5353557999275130138466,5389793028530708416990
-60420,154613554209379969857,154613554209379969857
-60360,5327023300652900879559,5327023300652900879559
-60300,1159296669749575752209,1168030367343799602551
-60240,2326656743828796932604,2326656743828796932604
-60180,307141738806831057045,307141738806831057045
-60120,211041571772231706,211041571772231706
-60060,86453851501470702327,244189288564574317103
-60000,-128623752431100148733,385909475531392501757
-59940,3549285035722362413086,4455844789036363130918
-59880,7720144509100671693418,8241736888445905572100
-59820,-3252283844472439262064,3883923069693407909328
-59760,2308157242445094632312,2857956225128864173790
-59700,-104153048498259872679,1351153259219269623905
-59640,1943563723007688213672,1943563723007688213672
-59580,40980477347397730789,44084198330083413533
-59520,1052955771038269345,9466888331410500681
-59460,859795577326922952,859795577326922952
-59400,1067129250166695695438,1261373123943673332496
-59340,295032381234036115630,295032381234036115630
-59280,-15327219457301818459527,16500182280982675113211
-59220,-117052971606517109251,118738746706589589813
-59160,1126088029580653197950,1126666035067651314990
-59100,-271766028859419584194,271766028859419584194
-59040,-3001161873705286274379,3921285119299138332985
-58980,-364261235833592061323,364261235833592061323
-58920,1400687858495946308,1400687858495946308
-58860,-5376680474969033960367,5398563058369171946263
-58800,663256704301613671491,663256704301613671491
-58740,-66347155886810162750,561169158982057556244
-58680,58001127677636476658,58001127677636476658
-58620,64617508643339037016220,65471191867754483127044
-58560,11652136230997121750,11652136230997121750
-58500,-850694714206192350643,864254889882580501303
-58440,-16177524239067387728,141521494508255420786
-58380,-476334142565266319902,722651622964501589968
-58320,-1185518565899758851,3370898138048700069
-58260,-2200336362786881971316,2200336362786881971316
-58200,-8502900504353245370744,8524254736055653250878
-58140,-180125474338930541778,180125474338930541778
-58080,-1926927783153844530728,1980995387194161251332
-58020,-71842999138111678665,89355334322588210081
-57960,20923968414733252284,20923968414733252284
-57900,-204976191340165377449,788196512651905670913
-57840,151503274288314118801,269798331800648211297
-57780,88798856484429700209,215650331853931028605
-57720,1290170140387126166990,1292397957322579959470
-57660,-286242852440723573377,296977468871016720087
-57600,184581610874965220995,184581610874965220995
-57480,-1800798987909199961609,1800808404650297904039
-57420,-4752391431832002492842,6349895364760254419064
-57360,-507892934543910738122,733003726254296340628
-57300,311455922001777711,311455922001777711
-57240,-1170947970596348575,1170947970596348575
-57180,480493199802700309336,484175638174735606440
-57120,-224233328927435940230,225413902235813400968
-57060,-1999069825868803591149,3063848919063417801989
-57000,3551875783316593302008,3577248261801743996022
-56940,74348342518403460295,174944744172667794893
-56880,15837612448768950421444,16190187667841073093906
-56820,-106913352399783914323,1369746237596840880879
-56760,-15929878524392340767584,16494621399028974736692
-56700,-76114105626044234558,76455060506643327186
-56640,-55467653563931411546,874158715048399770022
-56580,88530597794800957327699,90046878347443405615293
-56520,654344920389428160922,654344920389428160922
-56460,-73638044335843459428,73643771387783369696
-56400,-122775804537367219706,137343595451383220082
-56340,-3103147474834479630124,4028447447046172917556
-56280,10569406453092408806,10569406453092408806
-56220,-835237401413291560156,916902186846496573660
-56160,-2078617762350839549444,2468456042098556491278
-56100,253999582585168321148,278029819091908616220
-56040,397218259977173951761,410741963403400631875
-55980,1904271946353048515402,2616637871591617666632
-55920,153441440319984357059,567092735121176088345
-55740,-2054335820328355355332,2054335820328355355332
-55680,-10431066126030478552707,11272464295329543600283
-55620,-3186791913983736,3186791913983736
-55560,124015125450583937524,124015125450583937524
-55500,338204779760212733918,339043341095813206486
-55440,74779639659074183459,341545909157839563377
-55380,48057696762785859585,255114587768261183663
-55320,-298053721076981039607,298053721076981039607
-55260,-2199731184702181514356,2644381291994033606812
-55200,66609415654449360507,323819278578892463539
-55020,723922795927855617107,2941245513225547959853
-54960,-7599768794419959517,10528410057124032393
-54900,599121773022586642087,599121773022586642087
-54840,-23428974829348305702,68738382986299494690
-54780,196312072966508137139,196312072966508137139
-54720,9213155654399608938387,9230667989584085469803
-54660,-170493828768414515368,170493828768414515368
-54600,7264027162073720156,8725019819249109688
-54540,-416523486861531606495,423366060760622735275
-54480,-582695317471485426600,592583300488733767292
-54420,127757460203518185779,127757460203518185779
-54360,-2561554770388013121790,2604987325091909609314
-54300,205163930729488928192,471386858922750211388
-54240,14765654306750119595,50649968981020190371
-54180,-7158909268741556201,8935685292857135951
-54120,-561901021142312482218,575752198734069074926
-54060,-232850603490012720622,609267763945377808286
-54000,-745370919866221130149,765423135732932147295
-53940,-396222101100911941014,565299349406004621720
-53880,-9195020283745553606143,9236801776858677187947
-53820,16290077734230447,39248724722624107
-53760,1043787704033707696471,1795551145445995308327
-53700,-1143731445999665213,2469302440246529247
-53640,-749940612937605106255,749940612937605106255
-53580,-4639437990224188002,45642667768021804704
-53520,-3315884722417644064,3315884722417644064
-53460,-113721668322907317410,388974952611672037018
-53400,568909495044106248307,568909495044106248307
-53340,-184501921227480296688,184501921227480296688
-53280,-336362733362696217354,336362733362696217354
-53220,-4917310724136439672973,4917635640988301726103
-53160,9061828602019711255,9265622454767024995
-53100,-326408638095353210912,330276183941026489166
-53040,-612904503714817773605,695577029215166554025
-52980,-4352706359922190281924,5055923344805605523742
-52920,-1261854848716634499855,1268135015080508801507
-52860,-52747816074951316130,52747816074951316130
-52800,-622126322808916146089,712951636634286889567
-52740,-124669334222261974628,124669334222261974628
-52680,2342863581861257622,92407277911178603790
-52620,196165939848245336247,1371751362696528255267
-52560,-206462263980477844408,245851608006211319596
-52500,-89908118625199049,89908118625199049
-52440,-739610117246939731,739610117246939731
-52380,-1175883603142864596821,1175883603142864596821
-52320,-127317787864016082135,127317787864016082135
-52260,-1637870685803270189332,1655097264614317787532
-52200,-283802803415270385230,284398659517431837962
-52140,-1231678052637423503,1231678052637423503
-52080,-651198289246729872105,654258988152509882431
-52020,-9552098235654014389977,9552098235654014389977
-51960,-63265556336609798263217,66137347623092740648795
-51900,-938785181099262749388,938785181099262749388
-51840,-19266242437587427847,19266242437587427847
-51780,-1068231263705575100784,1068231263705575100784
-51720,-723797046008608554525,723797046008608554525
-51660,-468125114908637788,468125114908637788
-51600,-25813954798133336176,25813954798133336176
-51540,-515824978684881769536,518566609521811799186
-51480,-27156298660219999758,27156298660219999758
-51360,-21580423491834644256,21580423491834644256
-51300,-2719424491111777737029,2719424491111777737029
-51240,-82069144482243126846,82069144482243126846
-51180,-1360427854574318434395,1531206199232220563893
-51120,-127509870186191381717,128401195145086785807
-51060,4274439840206450833,4274439840206450833
-51000,-99274102538396395959,100669962914610275889
-50940,142292312063397361555,142292312063397361555
-50880,-360172789235919272575,360172789235919272575
-50760,-163597523496972675444,195294976752488703944
-50700,3765795920631213157,4848733356528653613
-50640,-5342081166538677093,6766614934567283289
-50580,383995753785830744,383995753785830744
-50520,-2123965208178888270,2123965208178888270
-50460,33975956296156408270,34305217368224773422
-50400,-4604938993091646160,4604938993091646160
-50340,328740725291617095491,329067296615543631369
-50280,-593181559639539821125,594372076751650954549
-50220,-470839340166783869013,470839340166783869013
-50160,-108102595906606198652,112364963649547319714
-50100,-2404148987361558979974,2811872285684496466806
-50040,-42273445243660538563,48606269434239735825
-49980,-803293978967517522710,803293978967517522710
-49920,-33015703455227495376,33015703455227495376
-49860,34026804336816026577,96642406543018604247
-49800,-183398070965267337807,183398070965267337807
-49740,-15227826224536655810,53687465593314993412
-49620,120477145834526788026,202382358372587992228
-49560,-42673395183694249070,42921038099754896462
-49500,-6870075152198389216149,6905827011585202788815
-49440,-14704381304784929710759,14727069049822711565645
-49380,-11615918881038873022053,12676759857616547477179
-49320,734147421207979016982,962596605429174221336
-49200,-546076559707297808345,546076559707297808345
-49140,-109209557484635125275,109209557484635125275
-49080,30294276716712122756,30798254794388595744
-49020,-913358609772966640587,913358609772966640587
-48960,-11983942175207474331,351824428375085699493
-48900,-124956734202139074664,181682072978976319386
-48840,-319901236715542586782,319901236715542586782
-48780,77693146611954620173,90372957520852859657
-48720,142647577349148740957,143633009337737363271
-48660,-874076593632986105629,1177997377353541020687
-48600,485805990223202235,485805990223202235
-48540,-423004093763640494119,423004093763640494119
-48480,53750651475663837063,164330377428055433093
