brier_score,count,evaluation_scheme,expected_calibration_error,mean_toxicity_probability,method,observed_toxic_rate,pool_family,probability_branch,test_month
0.01797215663346209,44,rolling_chronological,0.1282027950002439,0.8717972049997562,global_offset,1.0,eurc_usdc_500,closes_gap,2026-02
0.02729273959916445,31,rolling_chronological,0.16338766078313666,0.31080607549321865,global_offset,0.1935483870967742,eurc_usdc_500,closes_gap,2026-03
0.022185401214636146,32,rolling_chronological,0.13269097350989104,0.655146359745795,global_offset,0.625,eurc_usdc_500,closes_gap,2026-04
0.02421657177691291,24,rolling_chronological,0.1505773908430322,0.5376569853045113,global_offset,0.5,eurc_usdc_500,closes_gap,2026-05
0.025162523775335087,14,rolling_chronological,0.1563033402793015,0.6196027037311795,global_offset,0.6428571428571429,eurc_usdc_500,closes_gap,2026-06
0.11369093339051956,92,rolling_chronological,0.32950174337308846,0.3295017433730885,global_offset,0.0,eurc_usdc_500,widens_gap,2026-02
0.05648592574360091,47,rolling_chronological,0.2284296175326977,0.22842961753269764,global_offset,0.0,eurc_usdc_500,widens_gap,2026-03
0.08599012736157102,32,rolling_chronological,0.28451247340739877,0.28451247340739877,global_offset,0.0,eurc_usdc_500,widens_gap,2026-04
0.048709500787589316,43,rolling_chronological,0.21187344409452452,0.21187344409452452,global_offset,0.0,eurc_usdc_500,widens_gap,2026-05
0.04638092305822863,37,rolling_chronological,0.20222809438119707,0.20222809438119704,global_offset,0.0,eurc_usdc_500,widens_gap,2026-06
0.1478864213302913,1385,rolling_chronological,0.1435192620967935,0.7264183050107701,global_offset,0.8534296028880867,paxg_usdc_500,closes_gap,2026-02
0.13457496311227637,994,rolling_chronological,0.1560873712430248,0.7583964064719757,global_offset,0.8058350100603622,paxg_usdc_500,closes_gap,2026-03
0.06388516965863819,318,rolling_chronological,0.1059545459780123,0.8165235969018911,global_offset,0.9213836477987422,paxg_usdc_500,closes_gap,2026-04
0.09000621535872176,192,rolling_chronological,0.12713201358622095,0.7861796181560852,global_offset,0.8802083333333334,paxg_usdc_500,closes_gap,2026-05
0.09254745477520897,171,rolling_chronological,0.08542102287425007,0.7564522704048862,global_offset,0.8011695906432749,paxg_usdc_500,closes_gap,2026-06
0.130672928734021,1609,rolling_chronological,0.2884027768467747,0.32755753135267895,global_offset,0.03915475450590429,paxg_usdc_500,widens_gap,2026-02
0.08539336779142273,973,rolling_chronological,0.17264003202041284,0.2219719950214406,global_offset,0.04933196300102775,paxg_usdc_500,widens_gap,2026-03
0.1363032263993421,562,rolling_chronological,0.34604051833258986,0.35137859662440485,global_offset,0.005338078291814947,paxg_usdc_500,widens_gap,2026-04
0.07861201143569126,304,rolling_chronological,0.24925109162480102,0.25254056530901153,global_offset,0.003289473684210526,paxg_usdc_500,widens_gap,2026-05
0.057350491526692665,210,rolling_chronological,0.1984018339014782,0.20792564342528774,global_offset,0.009523809523809525,paxg_usdc_500,widens_gap,2026-06
0.16830570270877884,864,rolling_chronological,0.08084403921462609,0.7802923909695715,global_offset,0.7847222222222222,weth_usdc_3000,closes_gap,2026-02
0.1359005630684926,618,rolling_chronological,0.08128752724620648,0.7721697832527732,global_offset,0.8511326860841424,weth_usdc_3000,closes_gap,2026-03
0.0939611549346909,534,rolling_chronological,0.05252150201671385,0.8091478102359992,global_offset,0.8614232209737828,weth_usdc_3000,closes_gap,2026-04
0.06659950338476187,352,rolling_chronological,0.09364845760833604,0.7668043637110773,global_offset,0.8579545454545454,weth_usdc_3000,closes_gap,2026-05
0.10293326786331432,584,rolling_chronological,0.028552732997378344,0.7865157601533066,global_offset,0.815068493150685,weth_usdc_3000,closes_gap,2026-06
0.31079164138882526,800,rolling_chronological,0.2605718133496029,0.27192818665039714,global_offset,0.5325,weth_usdc_3000,widens_gap,2026-02
0.3945349579670406,465,rolling_chronological,0.42191083717331734,0.2512074423965751,global_offset,0.6731182795698925,weth_usdc_3000,widens_gap,2026-03
0.2814407600869841,331,rolling_chronological,0.1729615576949403,0.3043798320331564,global_offset,0.4773413897280967,weth_usdc_3000,widens_gap,2026-04
0.24236011766641183,298,rolling_chronological,0.10013069903556723,0.2627984191608212,global_offset,0.3523489932885906,weth_usdc_3000,widens_gap,2026-05
0.2626044847108666,529,rolling_chronological,0.15434234763484275,0.24830415520069601,global_offset,0.40264650283553877,weth_usdc_3000,widens_gap,2026-06
0.007215409715584767,44,rolling_chronological,0.07837964366495002,0.9216203563350498,global_platt,1.0,eurc_usdc_500,closes_gap,2026-02
0.024045423560398,31,rolling_chronological,0.15315760291284847,0.30445174592285984,global_platt,0.1935483870967742,eurc_usdc_500,closes_gap,2026-03
0.025909585205550707,32,rolling_chronological,0.145660804642956,0.6527543424695817,global_platt,0.625,eurc_usdc_500,closes_gap,2026-04
0.010122933460137783,24,rolling_chronological,0.09279421231365675,0.5372530481483945,global_platt,0.5,eurc_usdc_500,closes_gap,2026-05
0.007116000320283958,14,rolling_chronological,0.07749864098071921,0.6498680644664664,global_platt,0.6428571428571429,eurc_usdc_500,closes_gap,2026-06
0.09004007276594468,92,rolling_chronological,0.2881037692905417,0.2881037692905417,global_platt,0.0,eurc_usdc_500,widens_gap,2026-02
0.05247124361295945,47,rolling_chronological,0.21915586185796243,0.21915586185796246,global_platt,0.0,eurc_usdc_500,widens_gap,2026-03
0.09231097468057298,32,rolling_chronological,0.2959922572604475,0.2959922572604475,global_platt,0.0,eurc_usdc_500,widens_gap,2026-04
0.029075161418084403,43,rolling_chronological,0.15821705850355616,0.15821705850355616,global_platt,0.0,eurc_usdc_500,widens_gap,2026-05
0.0251698102163607,37,rolling_chronological,0.14395771124156756,0.14395771124156756,global_platt,0.0,eurc_usdc_500,widens_gap,2026-06
